@@367204	##	fo
In	in	ii
the	the	at
first	first	md
scene	scene	nn1
of	of	io
this	this	dd1_rg%
1984	1984	mc
play	play	nn1_vv0
,	,	y
enjoying	enjoy	vvg
a	a	at1
somewhat	somewhat	rr
premature	premature	jj
Broadway	broadway	nn1
revival	revival	nn1
,	,	y
a	a	at1
man	man	nn1
confronts	confront	vvz
his	his	appge
wife	wife	nn1
with	with	iw
evidence	evidence	nn1
of	of	io
her	her	appge
affair	affair	nn1
.	.	y
In	in	ii
the	the	at
second	second	md
scene	scene	nn1
we	we	ppis2
learn	learn	vv0
that	that	cst
the	the	at
two	two	mc
were	be	vbdr
acting	act	vvg
in	in	ii_rp@
a	a	at1
play	play	nn1
 -- 	--	nn1
yet	yet	rr
something	something	pn1
very	very	rg
similar	similar	jj
is	be	vbz
going	go	vvg
on	on	rp@
in	in	ii
their	their	appge
own	own	da
lives	live	nn2
.	.	y
The	the	at
nice	nice	jj
thing	thing	nn1
about	about	ii
The	the	at
Real	real	jj
Thing	thing	nn1
is	be	vbz
that	that	cst
Stoppard	stoppard	np1
's	's	ge
penchant	penchant	nn1
for	for	if
trickery	trickery	nn1
does	do	vdz
n't	n't	xx
register	register	vvi
as	as	rg@_csa
mere	mere	jj
virtuosity	virtuosity	nn1
but	but	ccb
is	be	vbz
integral	integral	jj
to	to	ii
his	his	appge
probing	probing	jj
exploration	exploration	nn1
of	of	io
betrayal	betrayal	nn1
and	and	cc
trust	trust	vv0_nn1
among	among	ii
married	married	jj
couples	couple	nn2
.	.	y
Stephen	stephen	np1
Dillane	dillane	np1
heads	head	vvz@
a	a	at1
flawless	flawless	jj
,	,	y
starless	starless	jj
cast	cast	nn1@_vv0
that	that	cst_dd1
has	have	vhz
brought	bring	vvn
over	over	ii
David	david	np1
Leveaux	leveaux	np1	
's	's	ge
sharp	sharp	jj
production	production	nn1
from	from	ii
London	london	np1
's	's	ge
Donmar	donmar	nn1_np1	
Warehouse	warehouse	nn1
,	,	y
and	and	cc
it	it	pph1
's	be	vbz
a	a	at1
winner	winner	nn1
.	.	y
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
Richard	richard	np1
Zoglin	zoglin	np1	
