@@372398	##	fo
With	with	iw
Ms.	ms.-	nnb
Lewinsky	lewinsky	np1
on	on	ii
HBO	hbo	np1
,	,	y
March	march	np1@_npm1
is	be	vbz
Monica	monica	np1
Flashback	flashback	np1_nn1
Month	month	nnt1
,	,	y
a	a	at1
good	good	jj
time	time	nnt1
to	to	to
remember	remember	vvi
that	that	cst
McCarthyism	mccarthyism	np1
may	may	vm
be	be	vbi
gone	go	vvn
but	but	ccb
witch-hunts	witch-hunt	nn2
will	will	vm
always	always	rr
be	be	vbi
with	with	iw
us	us	ppio2
.	.	y
A	a	at1_zz1
good	good	jj
time	time	nnt1
,	,	y
too	too	rr@_rg
,	,	y
for	for	if
The	the	at
Crucible	crucible	nn1
,	,	y
Arthur	arthur	np1
Miller	miller	np1
's	's	ge
1953	1953	mc
warning	warning	nn1
against	against	ii
communal	communal	jj
hysteria	hysteria	nn1
,	,	y
which	which	ddq
uses	use	vvz
the	the	at
Salem	salem	np1
witch	witch	nn1
trials	trial	nn2
as	as	csa_ii@
its	its	appge
model	model	nn1
for	for	if
hypocrisy	hypocrisy	nn1
.	.	y
This	this	dd1
lucid	lucid	jj
if	if	cs_csw@
uneven	uneven	jj
Broadway	broadway	nn1
staging	stage	nn1_vvg
stars	star	nn2_vvz%
a	a	at1
ferocious	ferocious	jj
Liam	liam	np1
Neeson	neeson	np1
,	,	y
still	still	rr
the	the	at
thinking	think	nn1
man	man	nn1
's	's	ge
hunk	hunk	nn1
.	.	y
Laura	laura	np1
Linney	linney	np1
has	have	vhz
the	the	at
more	more	rgr
subdued	subdued	jj
role	role	nn1
as	as	csa_ii@
his	his	appge
suffering	suffering	jj_nn1
wife	wife	nn1
.	.	y
But	but	ccb
her	her	appge
gift	gift	nn1
for	for	if
finding	find	vvg_nn1_jj@
fire	fire	nn1
in	in	ii
the	the	at
quietest	quiet	jjt
corners	corner	nn2
of	of	io
normality	normality	nn1
makes	make	vvz
her	her	appge_ppho1
Neeson	neeson	np1_nn1@
's	be	vbz
equal	equal	jj
.	.	y
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
Richard	richard	np1
Lacayo	lacayo	np1
