@@379972	##	fo
Famous	famous	jj
for	for	if
their	their	appge
previous	previous	jj
display	display	nn1
of	of	io
Faberg	faberg	np1
eggs	egg	nn2
,	,	y
the	the	at
Forbes	forbes	np1
Galleries	gallery	nn2
in	in	ii
New	new	np1
York	york	np1
City	city	nn1
are	be	vbr
now	now	rt
trying	try	vvg
to	to	to
attract	attract	vvi
visitors	visitor	nn2
with	with	iw
lesser-known	lesser-known	jj
"	"	"
Treasures	treasure	nn2
of	of	io
the	the	at
Titans	titans	nn2_np1
.	.	y
"	"	"
A	a	at1
more	more	rgr
accurate	accurate	jj
description	description	nn1
of	of	io
the	the	at
140	140	mc
items	item	nn2
assembled	assemble	vvn
by	by	ii
the	the	at
National	national	jj
Jewelry	jewelry	nn1
Institute	institute	nn1
:	:	y
knickknacks	knickknacks	nn2
of	of	io
the	the	at
rich	rich	jj
and	and	cc
famous	famous	jj
.	.	y
Who	who	pnqs_np1%
,	,	y
after	after	ii
all	all	db
,	,	y
would	would	vm
n't	n't	xx
want	want	vvi
to	to	to
see	see	vvi
J.P	jp	np1
.	.	y
Morgan	morgan	np1
's	's	ge
Cartier	cartier	np1
cologne	cologne	nn1
holder	holder	nn1
,	,	y
right	right	rr_nn1_jj
,	,	y
or	or	cc
William	william	np1
Randolph	randolph	np1
Hearst	hearst	np1
's	's	ge
buffalo-horn	buffalo-horn	jj_nn1
drinking	drinking	nn1_vvg
cup	cup	nn1
,	,	y
above	above	rl
?	?	y
Come	come	vv0
March	march	npm1_np1@
,	,	y
the	the	at
bric-a-brac	bric-a-brac	nn1
exhibit	exhibit	nn1
will	will	vm
shift	shift	vvi
from	from	ii
the	the	at
first	first	md
half	half	nn1@_db
of	of	io
the	the	at
20th	20th	md
century	century	nnt1
to	to	ii
the	the	at
latter	latter	da
,	,	y
featuring	feature	vvg
,	,	y
among	among	ii
other	other	jj
items	item	nn2
,	,	y
Elvis	elvis	np1
'	'	ge
most	most	rgt
utilitarian	utilitarian	jj
bling	bling	jj@_nn1@	
 -- 	--	nn1
his	his	appge
gold	gold	nn1_jj@
Dunhill	dunhill	np1
lighter	lighter	nn1
.	.	y
