@@365244	##	fo
Iowa	iowa	np1
may	may	vm
have	have	vhi
only	only	rr
seven	seven	mc
electoral	electoral	jj
votes	vote	nn2
,	,	y
but	but	ccb
in	in	ii
a	a	at1
tight	tight	jj
contest	contest	nn1
,	,	y
it	it	pph1
's	be	vbz
an	an	at1
important	important	jj
battleground	battleground	nn1
.	.	y
(	(	y
Al	al	np1
Gore	gore	np1
won	win	vvd
the	the	at
state	state	nn1
in	in	ii
2000	2000	mc
by	by	ii
less	less	dar
than	than	csn
1%	1%	nnu
.	.	y
)	)	y
So	so	rr
residents	resident	nn2
of	of	io
Davenport	davenport	np1
were	be	vbdr
hardly	hardly	rr
fazed	faze	vvn
when	when	cs_rrq
PRESIDENT	president	nnb
BUSH	bush	np1
and	and	cc
JOHN	john	np1
KERRY	kerry	np1
showed	show	vvd
up	up	rp
for	for	if
rallies	rally	nn2
on	on	ii
the	the	at
same	same	da
day	day	nnt1
,	,	y
just	just	rr_jj@
blocks	block	vvz@_nn2
apart	apart	rl
.	.	y
The	the	at
crooks	crook	nn2
in	in	ii
town	town	nn1
were	be	vbdr
n't	n't	xx
fazed	faze	vvn@
either	either	rr_dd1
.	.	y
With	with	iw
the	the	at
cops	cop	nn2
preoccupied	preoccupied	jj_vvd%
,	,	y
three	three	mc
banks	bank	nn2
were	be	vbdr
robbed	rob	vvn
.	.	y
