@@370791	##	fo
President	president	nnb
Bush	bush	np1
has	have	vhz
been	be	vbn
doing	do	vdg
his	his	appge
best	best	jjt
Hamlet	hamlet	nn1@_np1
over	over	ii
the	the	at
question	question	nn1
of	of	io
federal	federal	jj
funding	funding	nn1
for	for	if
stem-cell	stem-cell	jj_nn1
research	research	nn1
.	.	y
(	(	y
Karl	karl	np1
Rove	rove	vv0
told	tell	jj%_vvn
Representatives	representative	nn2
this	this	dd1
week	week	nnt1
that	that	cst
the	the	at
decision	decision	nn1
is	be	vbz
"	"	"
no	no	at_rr%
less	less	rgr
important	important	jj
than	than	csn
a	a	at1
decision	decision	nn1
to	to	to
commit	commit	vvi
troops	troop	nn2
to	to	ii
war	war	nn1
.	.	y
"	"	"
)	)	y
But	but	ccb
the	the	at
President	president	nn1
's	's	ge
is	be	vbz
not	not	xx
the	the	at
only	only	jj
decision	decision	nn1
that	that	cst
matters	matter	nn2_vvz@
.	.	y
Senator	senator	nnb
Pete	pete	np1
Domenici	domenici	nn1_np1
of	of	io
New	new	np1
Mexico	mexico	np1
realizes	realize	vvz
that	that	cst
his	his	appge
choice	choice	nn1
could	could	vm
be	be	vbi
just	just	rr
as	as	rg
pivotal	pivotal	jj
.	.	y
Domenici	domenici	nn2_np1@_nn1@	
is	be	vbz
respected	respect	vvn
on	on	ii
both	both	db2
sides	side	nn2
of	of	io
the	the	at
aisle	aisle	nn1
,	,	y
and	and	cc
given	give	cs21
that	that	cs22
he	he	pphs1
is	be	vbz
an	an	at1
antiabortion	antiabortion	nn1
Roman	roman	nn1_jj
Catholic	catholic	nn1
,	,	y
his	his	appge
support	support	nn1
of	of	io
Senator	senator	nnb
Bill	bill	np1
Frist	frist	nn1
's	's	ge
compromise	compromise	nn1
 -- 	--	nn1
which	which	ddq
allows	allow	vvz
funding	funding	nn1_vvg@
for	for	if
research	research	nn1
under	under	ii
a	a	at1
few	few	da2
restrictions	restriction	nn2
 -- 	--	nn1
may	may	vm
give	give	vvi
that	that	dd1_cst
proposal	proposal	nn1
a	a	at1
jolt	jolt	nn1
of	of	io
moral	moral	jj
authority	authority	nn1
that	that	cst_dd1
could	could	vm
flush	flush	vvi
out	out	rp
the	the	at
five	five	mc
votes	vote	nn2
still	still	rr
needed	need	vvn_vvd
to	to	to
get	get	vvi
past	past	ii_rl
a	a	at1
presidential	presidential	jj
veto	veto	nn1
.	.	y
On	on	ii
Friday	friday	npd1
a	a	at1
top	top	jj
Domenici	domenici	jj_nn1
aide	aide	nn1
said	say	vvd
the	the	at
Senator	senator	nn1
was	be	vbdz
"	"	"
on	on	ii
his	his	appge
own	own	da
timetable	timetable	nn1
"	"	"
for	for	if
a	a	at1
decision	decision	nn1
.	.	y
<P>	<p>	null	
 -- 	--	nn1
Reported	report	vvn
by	by	ii
Matthew	matthew	np1
Cooper	cooper	np1
and	and	cc
Douglas	douglas	np1
Waller/Washington	waller/washington	np1	
