@@364554	##	fo
And	and	cc
people	people	nn
complain	complain	vv0
that	that	cst_dd1
getting	get	vvg
their	their	appge
films	film	nn2
made	make	vvn
in	in	ii
Hollywood	hollywood	np1
is	be	vbz
a	a	at1
trial	trial	nn1
.	.	y
Try	try	vv0
China	china	np1
,	,	y
where	where	cs_rrq
director	director	nn1
TIAN	tian	np1_nn1_jj	
ZHUANGZHUANG	zhuangzhuang	np1_nn1	
'S	's	ge_vbz
award-winning	award-winning	jj
The	the	at
Blue	blue	jj
Kite	kite	nn1
(	(	y
1992	1992	mc
)	)	y
earned	earn	vvd
him	him	ppho1
a	a	at1
government	government	nn1
blacklisting	blacklist	vvg_nn1@	
.	.	y
In	in	ii
his	his	appge
several-year	several-year	jj	
break	break	nn1
from	from	ii
directing	direct	vvg
,	,	y
Tian	tian	nn1@_jj
spent	spend	vvd_vvn
a	a	at1
lot	lot	nn1
of	of	io
time	time	nnt1
watching	watch	vvg
movies	movie	nn2
and	and	cc
helped	help	vvn_vvd
produce	produce	vvi
a	a	at1
few	few	da2
.	.	y
But	but	ccb
"	"	"
the	the	at
kind	kind	nn1
of	of	io
film	film	nn1
I	i	ppis1
wanted	want	vvd
to	to	to
make	make	vvi
was	be	vbdz
not	not	xx
allowed	allow	vvn
,	,	y
"	"	"
he	he	pphs1
says	say	vvz
through	through	ii_rp@
an	an	at1
interpreter	interpreter	nn1
.	.	y
"	"	"
And	and	cc
those	those	dd2
the	the	at
government	government	nn1
likes	like	vvz_nn2
I	i	ppis1
did	do	vdd
n't	n't	xx
want	want	vvi
to	to	to
do	do	vdi
.	.	y
I	i	ppis1
waited	wait	vvd
to	to	to
see	see	vvi
if	if	cs_csw@
either	either	rr
the	the	at
government	government	nn1
changed	change	vvn_vvd
or	or	cc
I	i	ppis1
was	be	vbdz
changed	change	vvn
by	by	ii
them	them	ppho2
.	.	y
"	"	"
Lucky	lucky	jj
for	for	if
filmgoers	filmgoers	nn2
,	,	y
Beijing	beijing	np1
blinked	blink	vvd
first	first	md
,	,	y
and	and	cc
Tian	tian	nn1@_jj
is	be	vbz
back	back	rp
with	with	iw
Springtime	springtime	nnt1
in	in	ii
a	a	at1
Small	small	jj@
Town	town	nn1
,	,	y
a	a	at1
remake	remake	nn1
of	of	io
a	a	at1
classic	classic	jj
Chinese	chinese	jj
film	film	nn1
,	,	y
opening	open	vvg
in	in	ii
the	the	at
U.S.	u.s.-	np1
this	this	dd1
week	week	nnt1
.	.	y
The	the	at
new	new	jj
tyranny	tyranny	nn1
in	in	ii
Tian	tian	nn1@_jj
's	's	ge
life	life	nn1
,	,	y
however	however	rr
,	,	y
is	be	vbz
the	the	at
box	box	nn1
office	office	nn1
;	;	y
China	china	np1
's	's	ge
young	young	jj
moviegoers	moviegoer	nn2
,	,	y
he	he	pphs1
says	say	vvz
,	,	y
prefer	prefer	vv0
simpler	simple	jjr
fare	fare	nn1
.	.	y
