@@373486	##	fo
Nazi-inspired	nazi-inspired	jj_nn1	
motorcycle	motorcycle	nn1
helmets	helmet	nn2
have	have	vh0
been	be	vbn
around	around	rg@_rp
since	since	rr@_cs
,	,	y
well	well	rr
,	,	y
the	the	at
Nazis	nazi	nn2
.	.	y
But	but	ccb
now	now	rt
they	they	pphs2
are	be	vbr
becoming	become	vvg
the	the	at
headgear	headgear	nn1
of	of	io
choice	choice	nn1
for	for	if
a	a	at1
growing	growing	jj
corps	corps	nn
of	of	io
professionals	professional	nn2
who	who	pnqs
want	want	vv0
that	that	cst_dd1
bad-boy	bad-boy	jj_nn1
biker	biker	nn1
image	image	nn1
.	.	y
Jim	jim	np1
Peacock	peacock	np1
,	,	y
president	president	nn1
of	of	io
Butthead	butthead	np1_nn1@	
Novelties	novelty	nn2
,	,	y
sells	sell	vvz
about	about	rg
500	500	mc
German-style	german-style	jj
helmets	helmet	nn2
a	a	at1
month	month	nnt1
 -- 	--	nn1
up	up	rp
20%	20%	nnu
from	from	ii
a	a	at1
year	year	nnt1
ago	ago	ra
 -- 	--	nn1_jj
at	at	ii
$50	$50	nnu
each	each	dd1
to	to	ii
customers	customer	nn2
in	in	ii
"	"	"
the	the	at
in-crowd	in-crowd	jj_nn1	
kind	kind	nn1
of	of	io
states	state	nn2
,	,	y
like	like	ii
California	california	np1
.	.	y
"	"	"
John	john	np1
Daniele	daniele	np1
,	,	y
owner	owner	nn1
of	of	io
the	the	at
online	online	jj
retailer	retailer	nn1
Helmets	helmet	nn2
R	xx_r	zz1_np1@
Us	us	np1@
