@@379096	##	fo
Used	use	vmk
to	to	to
be	be	vbi
,	,	y
you	you	ppy
packed	pack	vvd
your	your	appge
kids	kid	nn2
off	off	rp
to	to	ii
summer	summer	nnt1
camp	camp	nn1
,	,	y
mailed	mail	vvn_vvd@
them	them	ppho2
a	a	at1
care	care	nn1
package	package	nn1
and	and	cc
waited	wait	vvn
to	to	to
get	get	vvi
a	a	at1
couple	couple	nn1
of	of	io
obligatory	obligatory	jj
letters	letter	nn2
in	in	ii
reply	reply	nn1
.	.	y
While	while	cs
camps	camp	nn2
still	still	rr
try	try	vv0
to	to	to
get	get	vvi
kids	kid	nn2
back	back	rp
to	to	ii
basics	basic	nn2
,	,	y
by	by	ii
banning	ban	vvg
iPods	ipod	nn2
and	and	cc
e-mail	e-mail	nn1
,	,	y
parents	parent	nn2
are	be	vbr
using	use	vvg
technology	technology	nn1
to	to	to
stay	stay	vvi
in	in	ii_rp@
close	close	jj
touch	touch	nn1
 -- 	--	nn1
maybe	maybe	rr
too	too	rg
close	close	jj_rr@
.	.	y
<P>	<p>	null	
More	more	dar
than	than	csn
200	200	mc
camps	camp	nn2
this	this	dd1
summer	summer	nnt1
are	be	vbr
using	use	vvg
Bunk	bunk	nn1
Replies	reply	nn2_vvz
,	,	y
a	a	at1
new	new	jj
service	service	nn1
by	by	ii
