@@378415	##	fo
The	the	at
international	international	jj
man	man	nn1
of	of	io
mystery	mystery	nn1
is	be	vbz
back	back	rp_nn1
in	in	ii
the	the	at
house	house	nn1
.	.	y
Dave	dave	np1
Chappelle	chappelle	np1
,	,	y
the	the	at
congenial	congenial	jj
comedian	comedian	nn1
who	who	pnqs
took	take	vvd
off	off	rp
in	in	ii
the	the	at
middle	middle	nn1
of	of	io
making	make	vvg
the	the	at
third	third	md
season	season	nnt1
of	of	io
his	his	appge
acclaimed	acclaimed	jj
Comedy	comedy	nn1
Central	central	jj
show	show	nn1
,	,	y
popped	pop	vvd_vvn
unannounced	unannounced	jj
into	into	ii
two	two	mc
Los	los	np1
Angeles	angeles	np1
comedy	comedy	nn1
clubs	club	nn2
last	last	md
week	week	nnt1
.	.	y
They	they	pphs2
were	be	vbdr
Chappelle	chappelle	np1
's	's	ge
first	first	md
performances	performance	nn2
since	since	cs_ii@
his	his	appge
abrupt	abrupt	jj
escape	escape	nn1
to	to	ii
South	south	np1
Africa	africa	np1
.	.	y
(	(	y
Onstage	onstage	jj
,	,	y
he	he	pphs1
ridiculed	ridicule	vvd
the	the	at
rumors	rumor	nn2
of	of	io
rehab	rehab	nn1
.	.	y
)	)	y
Meanwhile	meanwhile	rr
,	,	y
sales	sales	nn
of	of	io
his	his	appge
second-season	second-season	jj_nnt1
DVD	dvd	np1
package	package	nn1
are	be	vbr
breaking	break	vvg
records	record	nn2
,	,	y
with	with	iw
1.2	1.2	mc
million	million	m
copies	copy	nn2
sold	sell	vvn_vvd
in	in	ii
the	the	at
first	first	md
week	week	nnt1
alone	alone	jj
.	.	y
Now	now	rt
that	that	dd1
's	be	vbz
something	something	pn1
nice	nice	jj_rr@
to	to	to
come	come	vvi
home	home	rl
to	to	ii_to
.	.	y
