@@381375	##	fo
That	that	dd1
is	be	vbz
the	the	at
question	question	nn1
that	that	cst_dd1
vexes	vex	vvz
travelers	traveler	nn2
seeking	seek	vvg
air	air	nn1
tickets	ticket	nn2
 -- 	--	nn1_jj
buy	buy	vv0_nn1%
,	,	y
or	or	cc
wait	wait	vv0
in	in	ii_rp@
hope	hope	nn1
of	of	io
a	a	at1
price	price	nn1
drop	drop	nn1_vv0
?	?	y
Thanks	thanks	ii21
to	to	ii22
computer	computer	nn1
scientist	scientist	nn1
Oren	oren	np1_nn1
Etzioni	etzioni	np1_nn1
,	,	y
an	an	at1
answer	answer	nn1
may	may	vm
be	be	vbi
just	just	rr
a	a	at1
few	few	da2
mouse	mouse	nn1
clicks	click	nn2
away	away	rl
.	.	y
Etzioni	etzioni	np1@_nn2	
's	's	ge
site	site	nn1
