@@376649	##	fo
By	by	ii
the	the	at
time	time	nnt1
Glen	glen	np1
Campbell	campbell	np1
got	get	vvd
to	to	ii
Phoenix	phoenix	np1
,	,	y
he	he	pphs1
was	be	vbdz
soused	souse	vvn
.	.	y
And	and	cc
medicated	medicate	vvn
.	.	y
The	the	at
Rhinestone	rhinestone	np1
Cowboy	cowboy	np1_nn1
was	be	vbdz
arrested	arrest	vvn
last	last	md
week	week	nnt1
for	for	if
"	"	"
extreme	extreme	jj
drunken	drunken	jj
driving	drive	nn1@_jj_vvg
"	"	"
after	after	ii_cs
a	a	at1
collision	collision	nn1
in	in	ii
Phoenix	phoenix	np1
,	,	y
Ariz	ariz	np1
.	.	y
Police	police	nn2
say	say	vv0
Campbell	campbell	np1
became	become	vvd
enraged	enrage	jj_vvn
while	while	nnt1@_cs
in	in	ii
custody	custody	nn1
and	and	cc
kneed	kneed	vv0
an	an	at1
officer	officer	nn1
.	.	y
The	the	at
evangelical	evangelical	jj
Christian	christian	nn1@
says	say	vvz
he	he	pphs1
forgot	forget	vvd
that	that	cst
the	the	at
antianxiety	antianxiety	nn1
medication	medication	nn1
he	he	pphs1
was	be	vbdz
taking	take	vvg
should	should	vm
n't	n't	xx
be	be	vbi
mixed	mix	vvn
with	with	iw
alcohol	alcohol	nn1
.	.	y
"	"	"
Even	even	rr
at	at	ii
my	my	appge
age	age	nn1
,	,	y
I	i	ppis1
learned	learn	vvd
a	a	at1
valuable	valuable	jj
lesson	lesson	nn1
,	,	y
"	"	"
Campbell	campbell	np1
said	say	vvd
in	in	ii_rp@
a	a	at1
statement	statement	nn1
.	.	y
Which	which	ddq
was	be	vbdz
...	....	...
dab	dab	vv0_nn1
on	on	ii_rp@
a	a	at1
little	little	jj
styling	styling	nn1
mousse	mousse	nn1
before	before	ii_cs
your	your	appge
mug	mug	nn1
shot	shot	nn1_vvn_vvd
?	?	y
