@@364073	##	fo
Spain	spain	np1
's	's	ge
most	most	rgt
celebrated	celebrate	jj
director	director	nn1
is	be	vbz
in	in	ii
trouble	trouble	nn1
for	for	if
a	a	at1
bit	bit	nn1
of	of	io
unscripted	unscripted	jj
dialogue	dialogue	nn1
.	.	y
In	in	ii
Madrid	madrid	np1
last	last	md
week	week	nnt1
,	,	y
the	the	at
nation	nation	nn1
's	's	ge
naughty	naughty	jj
auteur	auteur	nn1
PEDRO	pedro	np1
ALMODOVAR	almodovar	np1	
said	say	vvd
Spain	spain	np1
's	's	ge_vbz
outgoing	outgoing	jj
Popular	popular	jj
Party	party	nn1
tried	try	vvd
to	to	to
hatch	hatch	vvi
a	a	at1
coup	coup	nn1
the	the	at
day	day	nnt1
before	before	ii_cs
its	its	appge
defeat	defeat	nn1
in	in	ii
the	the	at
March	march	npm1
14	14	mc
election	election	nn1
.	.	y
The	the	at
party	party	nn1
denied	deny	vvd_vvn
the	the	at
charge	charge	nn1
and	and	cc
threatened	threaten	vvd_vvn
to	to	to
sue	sue	vvi
the	the	at
director	director	nn1
for	for	if
slander	slander	nn1
.	.	y
Almodovar	almodovar	nn1_np1@	
says	say	vvz
he	he	pphs1
"	"	"
just	just	rr
echoed	echo	vvn_vvd
a	a	at1
sea	sea	nn1
of	of	io
rumors	rumor	nn2
.	.	y
"	"	"
Hey	hey	uh
,	,	y
can	can	vm_vv0%
Bill	bill	np1
Clinton	clinton	np1
sue	sue	vv0
anyone	anyone	pn1
for	for	if
Wag	wag	np1_nn1_vv0
the	the	at
Dog	dog	nn1
?	?	y
