@@380564	##	fo
Three	three	mc
weeks	week	nnt2
after	after	cs_ii
Vice	vice	nnb
President	president	nnb
Dick	dick	np1
Cheney	cheney	np1
accidentally	accidentally	rr
shot	shoot	vvd_vvn
him	him	ppho1
,	,	y
Texas	texas	np1
lawyer	lawyer	nn1
Harry	harry	np1
Whittington	whittington	np1
is	be	vbz
back	back	rp_nn1
to	to	ii
his	his	appge
routine	routine	nn1
,	,	y
working	work	vvg
all	all	db
day	day	nnt1
at	at	ii
his	his	appge
office	office	nn1
in	in	ii
Austin	austin	np1
,	,	y
Texas	texas	np1
,	,	y
his	his	appge
friends	friend	nn2
say	say	vv0
.	.	y
Whittington	whittington	np1
,	,	y
who	who	pnqs
turned	turn	vvd
79	79	mc
last	last	md
week	week	nnt1
,	,	y
wo	will	vm
n't	n't	xx
comment	comment	vvi
,	,	y
but	but	ccb
the	the	at
facial	facial	jj
wounds	wound	nn2
from	from	ii
the	the	at
bird	bird	nn1
shot	shot	nn1_vvn
are	be	vbr
"	"	"
almost	almost	rr
unnoticeable	unnoticeable	jj
,	,	y
"	"	"
says	say	vvz
restaurateur	restaurateur	nn1
Bob	bob	np1
Woody	woody	np1
.	.	y
"	"	"
He	he	pphs1
's	be	vbz
back	back	rp_nn1_jj@
,	,	y
full	full	jj
force	force	nn1
.	.	y
"	"	"
Whittington	whittington	np1
's	's	ge
card-playing	card-playing	jj_nn1
buddy	buddy	nn1
Joe	joe	np1
Greenhill	greenhill	np1
,	,	y
a	a	at1
retired	retire	jj
Texas	texas	np1
Supreme	supreme	jj
Court	court	nn1
justice	justice	nn1
,	,	y
says	say	vvz
,	,	y
"	"	"
He	he	pphs1
's	be	vhz
been	be	vbn
besieged	besiege	vvn
with	with	iw
people	people	nn
who	who	pnqs
want	want	vv0
him	him	ppho1
to	to	to
be	be	vbi
their	their	appge
lawyer	lawyer	nn1
.	.	y
"	"	"
And	and	cc
here	here	rl
's	be	vbz
an	an	at1
odd	odd	jj
sign	sign	nn1
of	of	io
Whittington	whittington	np1
's	's	ge
fame	fame	nn1
:	:	y
a	a	at1
collector	collector	nn1
asked	ask	vvd_vvn@
if	if	cs_csw@
Whittington	whittington	np1
would	would	vm
sell	sell	vvi
some	some	dd
of	of	io
the	the	at
bird	bird	nn1
shot	shot	nn1
plucked	pluck	vvd_vvn
out	out	rp
by	by	ii
doctors	doctor	nn2
.	.	y
