@@376077	##	fo
There	there	ex
is	be	vbz
no	no	at
pill	pill	nn1
that	that	cst_dd1
does	do	vdz
for	for	if
women	woman	nn2
what	what	ddq
Viagra	viagra	np1_nn1@
does	do	vdz
for	for	if
men	man	nn2
 -- 	--	nn1_jj
yet	yet	rr
.	.	y
Some	some	dd
doctors	doctor	nn2
have	have	vh0
experimented	experiment	vvn
with	with	iw
the	the	at
male	male	jj_nn1
hormone	hormone	nn1
testosterone	testosterone	nn1
to	to	to
enhance	enhance	vvi
a	a	at1
woman	woman	nn1
's	's	ge
libido	libido	nn1
,	,	y
but	but	ccb
without	without	iw
the	the	at
benefit	benefit	nn1
of	of	io
rigorous	rigorous	jj
trials	trial	nn2
.	.	y
Now	now	rt
a	a	at1
new	new	jj
study	study	nn1
,	,	y
conducted	conduct	vvn
by	by	ii
Dr.	dr.-i	nnb
Glenn	glenn	np1
Braunstein	braunstein	np1
at	at	ii
Cedars-Sinai	cedars-sinai	np1
Medical	medical	jj
Center	center	nn1
in	in	ii
L.A.	l.a.-	np1
,	,	y
has	have	vhz
taken	take	vvn
some	some	dd
of	of	io
the	the	at
uncertainty	uncertainty	nn1
out	out	ii21
of	of	ii22
testosterone	testosterone	nn1
therapy	therapy	nn1
.	.	y
Nearly	nearly	rr
450	450	mc
women	woman	nn2
who	who	pnqs
had	have	vhd
lost	lose	vvn
their	their	appge
ovaries	ovary	nn2
were	be	vbdr
given	give	vvn
either	either	rr
a	a	at1
testosterone	testosterone	nn1
patch	patch	nn1
or	or	cc
a	a	at1
placebo	placebo	nn1
.	.	y
After	after	ii_cs
six	six	mc
months	month	nnt2
of	of	io
treatment	treatment	nn1
,	,	y
the	the	at
women	woman	nn2
on	on	ii
300	300	mc
mcg	mcg	nnu	
of	of	io
testosterone	testosterone	nn1
a	a	at1
day	day	nnt1
reported	report	vvd_vvn
an	an	at1
81%	81%	nnu
increase	increase	nn1_vv0
in	in	ii
satisfying	satisfying	jj_vvg@
sexual	sexual	jj
activity	activity	nn1
and	and	cc
a	a	at1
66%	66%	nnu
increase	increase	nn1_vv0
in	in	ii
sexual	sexual	jj
desire	desire	nn1
.	.	y
Some	some	dd
women	woman	nn2
in	in	ii
both	both	db2
the	the	at
testosterone	testosterone	nn1
and	and	cc
the	the	at
placebo	placebo	nn1
groups	group	nn2
experienced	experience	jj_vvd_vvn
side	side	nn1
effects	effect	nn2
,	,	y
such	such	ii21
as	as	ii22
headaches	headache	nn2
,	,	y
acne	acne	nn1
and	and	cc
increased	increased	jj_vvd_vvn
facial	facial	jj
hair	hair	nn1
.	.	y
 -- 	--	nn1_jj
By	by	ii
Sora	sora	np1
Song	song	nn1
