@@381329	##	fo
Rough	rough	jj
waters	water	nn2
are	be	vbr
n't	n't	xx
new	new	jj
to	to	ii
Katharine	katharine	np1
Jefferts	jefferts	np1_vvz
Schori	schori	np1_nn1	
,	,	y
52	52	mc
,	,	y
a	a	at1
former	former	da
oceanographer	oceanographer	nn1
who	who	pnqs
is	be	vbz
the	the	at
Presiding	presiding	jj@_vvg
Bishop-elect	bishop-elect	nnb	
of	of	io
the	the	at
Episcopal	episcopal	jj
Church	church	nn1
of	of	io
the	the	at
U.S.A.	u.s.a./	np1
Bishop	bishop	np1
Katharine	katharine	np1
,	,	y
as	as	csa
she	she	pphs1
's	be	vbz_vhz@
known	know	vvn
,	,	y
takes	take	vvz
over	over	rp_ii
a	a	at1
denomination	denomination	nn1
rocked	rock	vvn
by	by	ii
controversy	controversy	nn1
at	at	ii
home	home	nn1
and	and	cc
abroad	abroad	rl
for	for	if
its	its	appge
liberal	liberal	jj
stance	stance	nn1
on	on	ii
gay	gay	jj
clergy	clergy	nn2
.	.	y
She	she	pphs1
talked	talk	vvd
with	with	iw
TIME	time	nnt1
's	's	ge
Jeff	jeff	np1
Chu	chu	np1
about	about	ii
her	her	appge
mission	mission	nn1
of	of	io
social	social	jj
justice	justice	nn1
,	,	y
the	the	at
relationship	relationship	nn1
between	between	ii
science	science	nn1
and	and	cc
religion	religion	nn1
and	and	cc
whether	whether	csw
faith	faith	nn1
in	in	ii
Jesus	jesus	np1
is	be	vbz
the	the	at
only	only	jj
path	path	nn1
to	to	ii
heaven	heaven	nn1
.	.	y
