@@363672	##	fo
Is	be	vbz
nothing	nothing	pn1
sacred	sacred	jj
?	?	y
Long	long	rr_vv0@
before	before	ii_cs
Bridget	bridget	np1
Jones	jones	np1
and	and	cc
Carrie	carrie	np1
Bradshaw	bradshaw	np1
made	make	vvd
the	the	at
suffering	suffering	jj_nn1
singleton	singleton	nn1
chic	chic	nn1@_jj
,	,	y
a	a	at1
neurotic	neurotic	jj
,	,	y
noseless	noseless	jj
career	career	nn1
woman	woman	nn1
was	be	vbdz
a	a	at1
pioneer	pioneer	nn1
among	among	ii
Neanderthals	neanderthals	np1
like	like	ii
Hagar	hagar	np1
the	the	at
Horrible	horrible	jj
.	.	y
Now	now	rt
CATHY	cathy	np1
,	,	y
the	the	at
funny	funny	jj
papers	paper	nn2
'	'	ge
eternal	eternal	jj
(	(	y
or	or	cc
since	since	ii
1976	1976	mc
)	)	y
bachelorette	bachelorette	nn1
,	,	y
will	will	vm
get	get	vvi
a	a	at1
marriage	marriage	nn1
proposal	proposal	nn1
.	.	y
The	the	at
chubby	chubby	jj
cartoon	cartoon	nn1
icon	icon	nn1
has	have	vhz
been	be	vbn
warring	warring	vvg@_jj
with	with	iw
boyfriend	boyfriend	nn1
Irving	irving	np1
in	in	ii
recent	recent	jj
strips	strip	nn2
,	,	y
but	but	ccb
he	he	pphs1
will	will	vm
finally	finally	rr
pop	pop	vvi
the	the	at
question	question	nn1
on	on	ii
Valentine	valentine	np1
's	's	ge
Day	day	nnt1_np1
.	.	y
How	how	rrq
Cathy	cathy	np1
responds	respond	vvz
is	be	vbz
under	under	ii
wraps	wrap	nn2
.	.	y
Next	next	ii21
to	to	ii22
a	a	at1
photocopier	photocopier	nn1
somewhere	somewhere	rl
,	,	y
Dilbert	dilbert	np1
is	be	vbz
kicking	kick	vvg
himself	himself	ppx1
.	.	y
