@@365622	##	fo
Dr.	dr.-i	nnb
Stacy	stacy	np1
Ann	ann	np1
Mitchell	mitchell	np1
and	and	cc
Teri	teri	np1
Mitchell	mitchell	np1
,	,	y
authors	author	nn2
of	of	io
Livin	livin	np1
'	'	ge
Large	large	jj
:	:	y
African	african	jj
American	american	jj
Sisters	sister	nn2
Confront	confront	vv0
Obesity	obesity	np1_nn1
(	(	y
Hilton	hilton	np1
)	)	y
,	,	y
are	be	vbr
on	on	ii
a	a	at1
crusade	crusade	nn1
to	to	to
save	save	vvi
black	black	jj
women	woman	nn2
from	from	ii
what	what	ddq
they	they	pphs2
view	view	vv0@
as	as	ii_csa
an	an	at1
obesity	obesity	nn1
epidemic	epidemic	nn1
.	.	y
In	in	ii
a	a	at1
lively	lively	jj
,	,	y
encouraging	encouraging	jj
book	book	nn1
,	,	y
the	the	at
sisters	sister	nn2
pass	pass	vv0
along	along	rp_ii
good	good	jj
,	,	y
color-blind	color-blind	jj
suggestions	suggestion	nn2
to	to	ii
women	woman	nn2
wanting	want	vvg
to	to	to
walk	walk	vvi
away	away	ii21_rl
from	from	ii22_ii
a	a	at1
lifetime	lifetime	nnt1
of	of	io
weight-related	weight-related	jj_nn1	
problems	problem	nn2
.	.	y
Their	their	appge
honesty	honesty	nn1
and	and	cc
enthusiasm	enthusiasm	nn1
will	will	vm
energize	energize	vvi
many	many	da2
women	woman	nn2
to	to	to
battle	battle	vvi
the	the	at
bulge	bulge	nn1
.	.	y
 -- 	--	nn1_jj
By	by	ii
Andrea	andrea	np1
Sachs	sachs	np1
