@@374093	##	fo
524	524	mc
Number	number	nn1
of	of	io
passengers	passenger	nn2
and	and	cc
crew	crew	nn1
who	who	pnqs
became	become	vvd
ill	ill	jj
on	on	ii
four	four	mc
consecutive	consecutive	jj
cruises	cruise	nn2
this	this	dd1
month	month	nnt1
on	on	ii
the	the	at
Amsterdam	amsterdam	np1
,	,	y
a	a	at1
Holland	holland	np1
America	america	np1
cruise	cruise	nn1_vv0
ship	ship	nn1
<P>	<p>	null	
10	10	mc
Number	number	nn1
of	of	io
days	day	nnt2
the	the	at
Amsterdam	amsterdam	np1
will	will	vm
be	be	vbi
out	out	ii21
of	of	ii22
service	service	nn1
to	to	to
be	be	vbi
disinfected	disinfect	vvn@
<P>	<p>	null	
13%	13%	nnu
Percentage	percentage	nn1
of	of	io
Americans	american	nn2
between	between	ii
the	the	at
ages	age	nn2
of	of	io
18	18	mc
and	and	cc
24	24	mc
who	who	pnqs
could	could	vm
locate	locate	vvi
Iraq	iraq	np1
on	on	ii
a	a	at1
map	map	nn1
<P>	<p>	null	
34%	34%	nnu
Percentage	percentage	nn1
of	of	io
same	same	da
group	group	nn1
who	who	pnqs
knew	know	vvd
that	that	cst
the	the	at
Marquesas	marquesa	np2
,	,	y
where	where	cs
last	last	md
season	season	nnt1
's	's	ge
Survivor	survivor	nn1
was	be	vbdz
shot	shoot	vvn
,	,	y
are	be	vbr
located	locate	vvn
in	in	ii
the	the	at
South	south	nd1
Pacific	pacific	np1
<P>	<p>	null	
70%	70%	nnu
Percentage	percentage	nn1
of	of	io
Americans	american	nn2
who	who	pnqs
say	say	vv0
they	they	pphs2
would	would	vm
like	like	vvi
to	to	to
die	die	vvi
at	at	ii
home	home	nn1
<P>	<p>	null	
25%	25%	nnu
Percentage	percentage	nn1
of	of	io
Americans	american	nn2
who	who	pnqs
die	die	vv0
at	at	ii
home	home	nn1
<P>	<p>	null	
65	65	mc
Number	number	nn1
of	of	io
lines	line	nn2
in	in	ii
the	the	at
latest	late	jjt
edition	edition	nn1
of	of	io
Who	who	np1%
's	's	ge
Who	who	pnqs_np1%
in	in	ii
America	america	np1
used	use	vvd
by	by	ii
Senator	senator	nnb
Hillary	hillary	np1
Rodham	rodham	np1
Clinton	clinton	np1
for	for	if
her	her	appge_ppho1
biographical	biographical	jj
entry	entry	nn1
<P>	<p>	null	
15	15	mc
Number	number	nn1
of	of	io
lines	line	nn2
used	use	vvn
by	by	ii
former	former	da
President	president	nnb
Bill	bill	np1
Clinton	clinton	np1
<P>	<p>	null	
Source	source	nn1
:	:	y
AP	ap	np1
(	(	y
2	2	mc
)	)	y
,	,	y
USA	usa	np1
Today	today	rt
,	,	y
Chicago	chicago	np1
Sun-Times	sun-times	nnt2
