@@376370	##	fo
STEP	step	nn1
1	1	mc1
:	:	y
GET	get	vv0
THE	the	at
GEAR	gear	nn1
<P>	<p>	null	
Start	start	vv0_nn1
with	with	iw
your	your	appge
computers	computer	nn2
.	.	y
Every	every	at1
PC	pc	nn1
,	,	y
laptop	laptop	nn1
and	and	cc
Apple	apple	nn1
computer	computer	nn1
in	in	ii
your	your	appge
house	house	nn1
will	will	vm
need	need	vvi
a	a	at1
wireless	wireless	nn1
antenna	antenna	nn1
,	,	y
which	which	ddq
comes	come	vvz
in	in	ii
the	the	at
form	form	nn1
of	of	io
a	a	at1
slim	slim	jj
card	card	nn1
,	,	y
or	or	cc
adapter	adapter	nn1
,	,	y
that	that	dd1_cst
either	either	rr
slides	slide	vvz
into	into	ii
a	a	at1
slot	slot	nn1
or	or	cc
plugs	plug	vvz_nn2
into	into	ii
a	a	at1
USB	usb	nn1
port	port	nn1
.	.	y
There	there	ex
are	be	vbr
a	a	at1
number	number	nn1
of	of	io
these	these	dd2
cards	card	nn2
for	for	if
PCs	pc	nn2
.	.	y
For	for	if
a	a	at1
Mac	mac	np1_nn1@
,	,	y
you	you	ppy
'll	will	vm
need	need	vvi
what	what	ddq
's	be	vbz
called	call	vvn
an	an	at1
Airport	airport	nn1
card	card	nn1
,	,	y
which	which	ddq
comes	come	vvz
built	build	vvn
in	in	rp@
on	on	ii
newer	new	jjr
models	model	nn2
.	.	y
<P>	<p>	null	
The	the	at
heart	heart	nn1
of	of	io
your	your	appge
network	network	nn1
will	will	vm
be	be	vbi
a	a	at1
wireless	wireless	nn1
router	router	nn1
 -- 	--	nn1
a	a	at1
box	box	nn1
with	with	iw
an	an	at1
antenna	antenna	nn1
that	that	cst
shuttles	shuttle	nn2
signals	signal	nn2_vvz@
between	between	ii
each	each	dd1
of	of	io
your	your	appge
computers	computer	nn2
and	and	cc
the	the	at
network	network	nn1
.	.	y
Choose	choose	vv0
one	one	pn1
that	that	cst
has	have	vhz
extra	extra	jj_rr@
Ethernet	ethernet	np1
ports	port	nn2
and	and	cc
a	a	at1
built-in	built-in	jj
firewall	firewall	nn1
.	.	y
You	you	ppy
can	can	vm
get	get	vvi
one	one	pn1_mc1
for	for	if
$100	$100	nnu
.	.	y
Linksys	linksys	nn2_np1@	
,	,	y
Belkin	belkin	np1
,	,	y
Buffalo	buffalo	np1
,	,	y
D-Link	d-link	np1
,	,	y
even	even	rr
Dell	dell	np1
and	and	cc
Microsoft	microsoft	np1
sell	sell	vv0
them	them	ppho2
.	.	y
Before	before	cs
you	you	ppy
buy	buy	vv0
one	one	pn1_mc1
,	,	y
read	read	vv0_vvd_vvn
reviews	review	nn2
at	at	ii
