@@365714	##	fo
TV	tv	nn1
special	special	jj_nn1%
The	the	at
Rolling	rolling	jj
Stones	stone	nn2
Rock	rock	nn1
and	and	cc
Roll	roll	vv0_nn1
Circus	circus	nn1
was	be	vbdz
a	a	at1
Mick	mick	np1
Jagger	jagger	np1
 -- 	--	nn1_jj
helmed	helmed	vvd_jj@
vanity	vanity	nn1
project	project	nn1_vv0@
that	that	cst
somehow	somehow	rr
went	go	vvd
horribly	horribly	rr
right	right	jj_rr
.	.	y
The	the	at
chaotic	chaotic	jj
show	show	nn1
 -- 	--	nn1
a	a	at1
hybrid	hybrid	nn1
of	of	io
circus	circus	nn1
and	and	cc
rock	rock	nn1_vv0@
concert	concert	nn1
with	with	iw
some	some	dd
of	of	io
the	the	at
hottest	hot	jjt
acts	act	nn2
in	in	ii
swinging	swing	vvg_jj
London	london	np1
(	(	y
John	john	np1
Lennon	lennon	np1
,	,	y
the	the	at
Who	who	np1%
)	)	y
 -- 	--	nn1
was	be	vbdz
shelved	shelve	vvn
in	in	ii
the	the	at
1960s	1960s	mc2
and	and	cc
not	not	xx
released	release	vvn
on	on	ii
video	video	nn1
until	until	ii
1996	1996	mc
.	.	y
The	the	at
new	new	jj
DVD	dvd	np1
adds	add	vvz
commentary	commentary	nn1
from	from	ii
Jagger	jagger	np1
,	,	y
Yoko	yoko	np1
Ono	ono	np1_nn1
and	and	cc
others	other	nn2
.	.	y
Keith	keith	np1
Richards	richards	np1
mumbles	mumble	vvz
the	the	at
best	best	jjt
line	line	nn1
:	:	y
"	"	"
I	i	ppis1
remember	remember	vv0
not	not	xx
remembering	remember	vvg
everything	everything	pn1
towards	towards	ii
the	the	at
end	end	nn1
.	.	y
"	"	"
But	but	ccb
watching	watch	vvg
a	a	at1
young	young	jj
Jagger	jagger	np1
lead	lead	vv0_vvd@
the	the	at
Stones	stone	nn2
through	through	ii_rp@
sublimely	sublimely	rr
insolent	insolent	jj
versions	version	nn2
of	of	io
You	you	ppy
Ca	can	vm
n't	n't	xx
Always	always	rr
Get	get	vv0
What	what	ddq
You	you	ppy
Want	want	vv0
and	and	cc
Sympathy	sympathy	nn1
for	for	if
the	the	at
Devil	devil	nn1
is	be	vbz
simply	simply	rr
unforgettable	unforgettable	jj
.	.	y
By	by	ii
Christopher	christopher	np1
John	john	np1
Farley	farley	np1
