@@368495	##	fo
HUGH	hugh	np1
SIDEY	sidey	np1	
,	,	y
author	author	nn1
of	of	io
this	this	dd1
week	week	nnt1
's	's	ge
story	story	nn1
about	about	ii
the	the	at
search	search	nn1
for	for	if
the	the	at
White	white	np1
House	house	nn1
cornerstone	cornerstone	nn1
,	,	y
has	have	vhz
been	be	vbn
writing	write	vvg
about	about	ii
the	the	at
presidency	presidency	nn1
for	for	if
TIME	time	nnt1
for	for	if
more	more	dar
than	than	csn
40	40	mc
years	year	nnt2
.	.	y
Back	back	nn1_rp
in	in	ii
1961	1961	mc
,	,	y
Jackie	jackie	np1
Kennedy	kennedy	np1
talked	talk	vvd
to	to	ii
Sidey	sidey	np1
about	about	ii
her	her	appge
hopes	hope	nn2
for	for	if
establishing	establish	vvg
a	a	at1
White	white	np1
House	house	nn1
historical	historical	jj
association	association	nn1
.	.	y
He	he	pphs1
now	now	rt
finds	find	vvz
himself	himself	ppx1
a	a	at1
member	member	nn1
of	of	io
that	that	dd1
group	group	nn1
and	and	cc
chairman	chairman	nn1
of	of	io
the	the	at
committee	committee	nn1
planning	plan	vvg
the	the	at
upcoming	upcoming	jj
200th-birthday	200th-birthday	jj_nn1	
celebration	celebration	nn1
for	for	if
the	the	at
White	white	np1
House	house	nn1
.	.	y
