@@377002	##	fo
The	the	at
new	new	jj
face	face	nn1
in	in	ii
late-night	late-night	jj_nnt1
TV	tv	nn1
speaks	speak	vvz
with	with	iw
a	a	at1
Scottish	scottish	jj
brogue	brogue	nn1
.	.	y
CRAIG	craig	np1
FERGUSON	ferguson	np1
,	,	y
best	best	rrt
known	know	vvn
to	to	ii
American	american	jj
audiences	audience	nn2
as	as	ii_csa
The	the	at
Drew	draw	np1
Carey	carey	np1
Show	show	nn1
's	's	ge
insufferable	insufferable	jj
boss	boss	nn1
Mr.	mr.-	nnb
Wick	wick	np1
,	,	y
takes	take	vvz
the	the	at
reins	rein	nn2
of	of	io
CBS	cbs	np1
's	's	ge
Late	late	rr
Late	late	jj
Show	show	nn1
in	in	ii
January	january	npm1
,	,	y
which	which	ddq
another	another	dd1
Craig	craig	np1
 -- 	--	zz
Kilborn	kilborn	jj_np1	
in	in	ii
this	this	dd1
case	case	nn1
 -- 	--	nn1
dropped	drop	vvn_vvd
over	over	ii_rp
the	the	at
summer	summer	nnt1
.	.	y
(	(	y
Easier	easy	rrr_jjr
to	to	to
remember	remember	vvi
the	the	at
name	name	nn1
of	of	io
the	the	at
guy	guy	nn1
behind	behind	ii
the	the	at
desk	desk	nn1
,	,	y
that	that	dd1
way	way	nn1
.	.	y
)	)	y
Ferguson	ferguson	np1
won	win	vvd
a	a	at1
bake-off	bake-off	jj
with	with	iw
three	three	mc
other	other	jj
funny	funny	jj
guys	guy	nn2
,	,	y
much	much	rr_da1
to	to	ii
his	his	appge
surprise	surprise	nn1
.	.	y
"	"	"
I	i	ppis1
thought	think	vvd
,	,	y
There	there	ex
's	be	vbz
no	no	at
way	way	nn1
they	they	pphs2
're	be	vbr
going	go	vvgk
to	to	to
let	let	vvi
a	a	at1
Scottish	scottish	jj
guy	guy	nn1
do	do	vd0
this	this	dd1
show	show	vvi
,	,	y
"	"	"
he	he	pphs1
says	say	vvz
.	.	y
(	(	y
Has	have	vhz
he	he	pphs1
never	never	rr
seen	see	vvn
Shrek	shrek	np1_nn1@
?	?	y
)	)	y
We	we	ppis2
eagerly	eagerly	rr
await	await	vv0
seeing	see	vvg
all	all	db
those	those	dd2
guests	guest	nn2
in	in	ii
kilts	kilt	nn2
.	.	y
