@@363578	##	fo
Female	female	jj_nn1
heads	head	nn2
of	of	io
households	household	nn2
(	(	y
without	without	iw
a	a	at1
partner	partner	nn1
or	or	cc
spouse	spouse	nn1
)	)	y
could	could	vm
use	use	vvi
a	a	at1
financial	financial	jj
leg	leg	nn1
up	up	rp
,	,	y
according	according	ii21
to	to	ii22
a	a	at1
new	new	jj
study	study	nn1
from	from	ii
the	the	at
Consumer	consumer	nn1
Federation	federation	nn1
of	of	io
America	america	np1
and	and	cc
Catharine	catharine	np1
P.	p.-a	np1
Montalto	montalto	np1	
,	,	y
a	a	at1
professor	professor	nn1
at	at	ii
Ohio	ohio	np1
State	state	nn1
University	university	nn1
.	.	y
The	the	at
report	report	nn1
showed	show	vvd
that	that	cst
these	these	dd2
women	woman	nn2
on	on	ii
average	average	nn1_jj
have	have	vh0
one-half	one-half	mf
the	the	at
median	median	jj_nn1
income	income	nn1
and	and	cc
one-third	one-third	mf
the	the	at
net	net	jj_nn1
worth	worth	nn1@
of	of	io
other	other	jj
household	household	nn1
heads	head	nn2
.	.	y
As	as	ii
a	a	at1
result	result	nn1
,	,	y
says	say	vvz
Stephen	stephen	np1
Brobeck	brobeck	np1
,	,	y
director	director	nn1
of	of	io
the	the	at
Consumer	consumer	nn1
Federation	federation	nn1
of	of	io
America	america	np1
,	,	y
many	many	da2
of	of	io
them	them	ppho2
are	be	vbr
likely	likely	jj
to	to	to
live	live	vvi
on	on	ii
the	the	at
edge	edge	nn1
of	of	io
solvency	solvency	nn1
.	.	y
Women	woman	nn2
in	in	ii
these	these	dd2
situations	situation	nn2
need	need	vv0
financial	financial	jj
guidance	guidance	nn1
so	so	cs21
that	that	cs22
they	they	pphs2
do	do	vd0
n't	n't	xx
miss	miss	vvi
out	out	rp
on	on	ii
the	the	at
strategies	strategy	nn2
that	that	cst
better-off	better-off	jjr
people	people	nn
use	use	vv0
to	to	to
build	build	vvi
long-term	long-term	jj
assets	asset	nn2
,	,	y
like	like	ii
buying	buy	vvg
a	a	at1
house	house	nn1
.	.	y
Among	among	ii
the	the	at
places	place	nn2
women	woman	nn2
can	can	vm
turn	turn	vvi
to	to	ii
for	for	if
information	information	nn1
is	be	vbz
the	the	at
Women	woman	nn2
's	's	ge
Institute	institute	nn1
for	for	if
Financial	financial	jj_np1
Education	education	nn1
,	,	y
which	which	ddq
has	have	vhz
a	a	at1
website	website	nn1
at	at	ii
