@@371687	##	fo
This	this	dd1
hokey	hokey	nn1
1958	1958	mc
Broadway	broadway	np1_nn1
hit	hit	nn1@
has	have	vhz
justly	justly	rr
languished	languish	vvn
in	in	ii
dinner	dinner	nn1
theaters	theater	nn2
ever	ever	rr
since	since	rr@
.	.	y
Now	now	rt
,	,	y
in	in	ii
a	a	at1
radical	radical	jj_nn1
revision	revision	nn1
at	at	ii
Los	los	np1
Angeles	angeles	np1
'	'	ge
Mark	mark	np1
Taper	taper	np1
Forum	forum	nn1
,	,	y
playwright	playwright	nn1
David	david	np1
Henry	henry	np1
Hwang	hwang	np1
treats	treat	vvz
the	the	at
original	original	jj_nn1@
like	like	ii
"	"	"
some	some	dd
kind	kind	nn1
of	of	io
weird	weird	jj
Oriental	oriental	jj
minstrel	minstrel	nn1
show	show	nn1_vv0
,	,	y
"	"	"
as	as	csa
one	one	mc1
character	character	nn1
puts	put	vvz
it	it	pph1
,	,	y
and	and	cc
wraps	wrap	vvz
its	its	appge
assimilationist	assimilationist	nn1
anthems	anthem	nn2
into	into	ii
a	a	at1
merry	merry	jj
multicultural	multicultural	jj_nn1
trip	trip	nn1
from	from	ii
Tiananmen	tiananmen	np1
Square	square	nn1
to	to	ii
San	san	np1
Francisco	francisco	np1
's	's	ge
Chinatown	chinatown	np1_nn1@
.	.	y
Director-choreographer	director-choreographer	jj_nn1	
Robert	robert	np1
Longbottom	longbottom	np1	
adds	add	vvz
a	a	at1
dollop	dollop	nn1
of	of	io
kitsch	kitsch	nn1
 -- 	--	nn1
and	and	cc
somehow	somehow	rr
the	the	at
mix	mix	nn1
is	be	vbz
funny	funny	jj
and	and	cc
clever	clever	jj
.	.	y
It	it	pph1
even	even	rr
jerks	jerk	vvz
a	a	at1
tear	tear	nn1
or	or	cc
two	two	mc
.	.	y
Broadway	broadway	np1_nn1
,	,	y
get	get	vv0
ready	ready	jj_rr@
!	!	!
<P>	<p>	null	
 -- 	--	nn1_jj
By	by	ii
Margot	margot	np1
Roosevelt	roosevelt	np1
