@@333560	##	fo
Casper	casper	nn1_np1
the	the	at
Friendly	friendly	jj
Ghost	ghost	nn1
is	be	vbz
an	an	at1
amiable	amiable	jj
,	,	y
almost	almost	rr
cherubic-looking	cherubic-looking	jj
cartoon	cartoon	nn1
character	character	nn1
.	.	y
But	but	ccb
his	his	appge
creator	creator	nn1
,	,	y
Harvey	harvey	np1
Publications	publication	nn2
,	,	y
felt	feel	vvd_vvn
downright	downright	rr_jj
hostile	hostile	jj
when	when	cs
the	the	at
company	company	nn1
's	's	ge
executives	executive	nn2
saw	see	vvd
the	the	at
logo	logo	nn1
for	for	if
Columbia	columbia	np1
Pictures	picture	nn2
'	'	ge
1984	1984	mc
blockbuster	blockbuster	nn1
movie	movie	nn1
Ghostbusters	ghostbusters	np1
.	.	y
The	the	at
logo	logo	nn1
featured	feature	vvd_vvn
a	a	at1
cartoon	cartoon	nn1
ghost	ghost	nn1
behind	behind	ii
the	the	at
symbol	symbol	nn1
for	for	if
prohibition	prohibition	nn1
,	,	y
a	a	at1
red	red	jj
circle	circle	nn1
with	with	iw
a	a	at1
bar	bar	nn1
across	across	ii
its	its	appge
center	center	nn1
.	.	y
Two	two	mc
years	year	nnt2
ago	ago	ra
,	,	y
Harvey	harvey	np1
filed	file	vvd
a	a	at1
$50	$50	nnu
million	million	m
lawsuit	lawsuit	nn1
claiming	claim	vvg_nn1@
copyright	copyright	nn1
and	and	cc
trademark	trademark	nn1
infringement	infringement	nn1
.	.	y
The	the	at
company	company	nn1
claimed	claim	vvd_vvn
that	that	cst
the	the	at
logo	logo	nn1
copied	copy	vvd_vvn
a	a	at1
Harvey	harvey	np1
cartoon	cartoon	nn1
character	character	nn1
named	name	vvd_vvn
Fatso	fatso	np1_nn1
,	,	y
one	one	mc1
of	of	io
a	a	at1
trio	trio	nn1
of	of	io
ghosts	ghost	nn2
that	that	cst_dd1
taunt	taunt	vv0_nn1
Casper	casper	nn1_np1
.	.	y
<P>	<p>	null	
Last	last	md
week	week	nnt1
a	a	at1
U.S.	u.s.-	np1
district	district	nn1
court	court	nn1
dismissed	dismiss	vvd_vvn
the	the	at
suit	suit	nn1
.	.	y
"	"	"
There	there	ex
are	be	vbr
only	only	rr
very	very	rg
limited	limited	jj
ways	way	nn2
to	to	to
draw	draw	vvi
the	the	at
figure	figure	nn1
of	of	io
a	a	at1
cartoon	cartoon	nn1
ghost	ghost	nn1
,	,	y
"	"	"
said	say	vvd
Judge	judge	np1@
Peter	peter	np1
Leisure	leisure	nn1
.	.	y
But	but	ccb
the	the	at
ghost	ghost	nn1
could	could	vm
come	come	vvi
back	back	rp
to	to	to
haunt	haunt	vvi
another	another	dd1
judge	judge	nn1
because	because	cs
Harvey	harvey	np1
may	may	vm
appeal	appeal	vvi
the	the	at
ruling	ruling	nn1_jj
.	.	y
