@@338354	##	fo
After	after	cs_ii
a	a	at1
storm	storm	nn1
of	of	io
protest	protest	nn1
over	over	ii
the	the	at
so-called	so-called	jj
zero-tolerance	zero-tolerance	jj_nn1
policy	policy	nn1
 -- 	--	nn1
under	under	ii
which	which	ddq
Brobdingnagian	brobdingnagian	jj
yachts	yacht	nn2
were	be	vbdr
confiscated	confiscate	vvn
if	if	cs
lilliputian	lilliputian	jj
amounts	amount	nn2
of	of	io
marijuana	marijuana	nn1
were	be	vbdr
discovered	discover	vvn@
on	on	ii21_rl21
board	board	ii22_rl22
 -- 	--	nn1_jj
the	the	at
Coast	coast	nn1
Guard	guard	nn1
and	and	cc
the	the	at
U.S.	u.s.-	np1
Customs	custom	nn2
Service	service	nn1_vv0@
have	have	vh0
decided	decide	vvn
that	that	cst_dd1
perhaps	perhaps	rr
they	they	pphs2
can	can	vm
tolerate	tolerate	vvi
a	a	at1
trace	trace	nn1
or	or	cc
two	two	mc
of	of	io
illicit	illicit	jj
drugs	drug	nn2
on	on	ii
the	the	at
high	high	jj
seas	sea	nn2
after	after	ii
all	all	db
.	.	y
<P>	<p>	null	
In	in	ii
what	what	ddq
was	be	vbdz
billed	bill	vvn
as	as	ii
a	a	at1
"	"	"
refinement	refinement	nn1
"	"	"
of	of	io
the	the	at
controversial	controversial	jj
program	program	nn1
,	,	y
Coast	coast	nn1
Guard	guard	nn1_vv0
officials	official	nn2
last	last	md
week	week	nnt1
reiterated	reiterate	vvd
that	that	cst
the	the	at
Guard	guard	nn1
's	's	ge
job	job	nn1
is	be	vbz
to	to	to
interdict	interdict	vvi
vessels	vessel	nn2
suspected	suspect	vvn_vvd
of	of	io
smuggling	smuggle	vvg_nn1
drugs	drug	nn2
into	into	ii
or	or	cc
out	out	ii21
of	of	ii22
the	the	at
U.S.	u.s.-	np1
Officers	officer	nn2
will	will	vm
no	no	rr%_at
longer	long	rrr
seize	seize	vvi
vessels	vessel	nn2
in	in	ii
international	international	jj
waters	water	nn2
if	if	cs
only	only	rr
an	an	at1
amount	amount	nn1
of	of	io
illegal	illegal	jj
drugs	drug	nn2
small	small	jj_rr%
enough	enough	rr_dd
to	to	to
be	be	vbi
consumed	consume	vvn
before	before	ii_cs
the	the	at
boat	boat	nn1
enters	enter	vvz
U.S.	u.s.-	np1
waters	water	vvz_nn2
is	be	vbz
discovered	discover	vvn@
.	.	y
