@@336356	##	fo
No	no	at
regional	regional	jj
American	american	jj
cuisine	cuisine	nn1
is	be	vbz
so	so	rg_rr
original	original	jj
or	or	cc
so	so	rg_rr
richly	richly	rr
varied	vary	vvn_vvd_jj
as	as	csa_ii@
that	that	dd1
of	of	io
the	the	at
South	south	nd1
,	,	y
and	and	cc
finally	finally	rr
there	there	ex
is	be	vbz
a	a	at1
single	single	jj
volume	volume	nn1
that	that	cst_dd1
explores	explore	vvz
all	all	db
of	of	io
its	its	appge
delectable	delectable	jj
diversity	diversity	nn1
.	.	y
Southern	southern	jj
Food	food	nn1
,	,	y
by	by	ii
John	john	np1
Egerton	egerton	np1
(	(	y
Knopf	knopf	np1_vv0_nn1
;	;	y
408	408	mc
pages	page	nn2
;	;	y
$22.95	$22.95	nnu
)	)	y
,	,	y
combines	combine	vvz
history	history	nn1
and	and	cc
lore	lore	nn1
,	,	y
recipes	recipe	nn2
and	and	cc
personalities	personality	nn2
plus	plus	ii_nn1@_rr%
,	,	y
as	as	csa
lagniappe	lagniappe	nn1
for	for	if
travelers	traveler	nn2
,	,	y
a	a	at1
selection	selection	nn1
of	of	io
restaurants	restaurant	nn2
in	in	ii
the	the	at
South	south	nd1
recommended	recommend	vvn_vvd_jj@
for	for	if
firsthand	firsthand	jj
sampling	sampling	nn1
.	.	y
Egerton	egerton	np1
,	,	y
a	a	at1
Nashville-based	nashville-based	jj_nn1
writer	writer	nn1
with	with	iw
a	a	at1
lifelong	lifelong	jj
passion	passion	nn1
for	for	if
food	food	nn1
,	,	y
has	have	vhz
included	include	vvn
a	a	at1
bibliography	bibliography	nn1
of	of	io
writings	writing	nn2
about	about	ii
Southern	southern	jj
food	food	nn1
and	and	cc
quotes	quote	vvz_nn2
on	on	ii
this	this	dd1
colorful	colorful	jj
cuisine	cuisine	nn1
from	from	ii
a	a	at1
variety	variety	nn1
of	of	io
authors	author	nn2
and	and	cc
observers	observer	nn2
.	.	y
In	in	ii
describing	describe	vvg
Southern	southern	jj
manners	manner	nn2
,	,	y
he	he	pphs1
recalls	recall	vvz
how	how	rrq
a	a	at1
good	good	jj
Georgia	georgia	np1
girl	girl	nn1
was	be	vbdz
taught	teach	vvn
by	by	ii
her	her	appge
grandmother	grandmother	nn1
that	that	cst
when	when	cs
she	she	pphs1
wanted	want	vvd
to	to	to
be	be	vbi
excused	excuse	vvn
from	from	ii
the	the	at
table	table	nn1
,	,	y
she	she	pphs1
should	should	vm
say	say	vvi
,	,	y
"	"	"
I	i	ppis1
've	have	vh0
had	have	vhn
an	an	at1
elegant	elegant	jj
sufficiency	sufficiency	nn1
.	.	y
"	"	"
Exactly	exactly	rr
what	what	ddq
Egerton	egerton	np1
provides	provide	vvz
so	so	rg
deliciously	deliciously	rr
.	.	y
