@@296034	##	fo
As	as	csa
everyone	everyone	pn1
knows	know	vvz
,	,	y
there	there	ex
are	be	vbr
no	no	at
bad	bad	jj
boys	boy	nn2
;	;	y
there	there	ex
are	be	vbr
only	only	rr_jj
bad	bad	jj
film	film	nn1
makers	maker	nn2
.	.	y
When	when	cs
Screenwriter	screenwriter	np1@_jjr	
Richard	richard	np1
DiLello	dilello	np1	
and	and	cc
Director	director	nn1
Rick	rick	np1
Rosenthal	rosenthal	np1
made	make	vvd
this	this	dd1
year	year	nnt1
's	's	ge
film	film	nn1
about	about	ii
the	the	at
tough	tough	jj
life	life	nn1
of	of	io
reform-school	reform-school	jj_nn1
inmates	inmate	nn2
,	,	y
they	they	pphs2
determined	determine	vvd@_vvn
to	to	to
refer	refer	vvi
not	not	xx
to	to	ii
life	life	nn1
but	but	ccb
to	to	ii
all	all	db
the	the	at
other	other	jj
movies	movie	nn2
that	that	cst
have	have	vh0
preceded	precede	vvn
them	them	ppho2
down	down	rp_ii@
melodrama	melodrama	nn1
's	's	ge
last	last	md
mile	mile	nnu1
.	.	y
Sean	sean	np1
Penn	penn	np1
(	(	y
memorable	memorable	jj
as	as	ii_csa
the	the	at
spaced-out	spaced-out	jj
surfer	surfer	nn1
in	in	ii
last	last	md
year	year	nnt1
's	's	ge_vbz
Fast	fast	jj
Times	time	nnt2
at	at	ii
Ridgemont	ridgemont	np1
High	high	jj_rr@
)	)	y
plays	play	vvz
the	the	at
youth	youth	nn1
who	who	pnqs
recognizes	recognize	vvz
his	his	appge
own	own	da
decency	decency	nn1
and	and	cc
sensitivity	sensitivity	nn1
about	about	rg
two	two	mc
hours	hour	nnt2
after	after	ii_cs
the	the	at
audience	audience	nn1
has	have	vhz
been	be	vbn
tipped	tip	vvn
to	to	ii
it	it	pph1
.	.	y
Penn	penn	np1
is	be	vbz
fine	fine	jj
;	;	y
so	so	rr
are	be	vbr
most	most	rrt@
of	of	io
his	his	appge
companions	companion	nn2
in	in	ii
misery	misery	nn1
.	.	y
But	but	ccb
waiting	wait	vvg
for	for	if
this	this	dd1
film	film	nn1
to	to	to
embrace	embrace	vvi
every	every	at1
known	know	jj@
generic	generic	jj
clich	clich	nn1
is	be	vbz
like	like	ii
serving	serve	vvg
an	an	at1
indeterminate	indeterminate	jj
sentence	sentence	nn1
:	:	y
you	you	ppy
know	know	vv0
it	it	pph1
has	have	vhz
to	to	to
end	end	vvi
but	but	ccb
can	can	vm
not	not	xx
understand	understand	vvi
why	why	rrq
that	that	dd1
should	should	vm
n't	n't	xx
happen	happen	vvi
a	a	at1
whole	whole	jj
lot	lot	nn1
sooner	sooner	rrr
than	than	csn
it	it	pph1
does	do	vdz
.	.	y
