@@336353	##	fo
The	the	at
Jordanian	jordanian	jj
airliner	airliner	nn1
was	be	vbdz
sitting	sit	vvg
on	on	ii
the	the	at
tarmac	tarmac	nn1
at	at	ii
Beirut	beirut	np1
International	international	jj
Airport	airport	nn1
when	when	cs_rrq
it	it	pph1
was	be	vbdz
stormed	storm	vvn
by	by	ii
terrorists	terrorist	nn2
on	on	ii
June	june	npm1
11	11	mc
,	,	y
1985	1985	mc
.	.	y
After	after	cs_ii
a	a	at1
13-hour	13-hour	jj_nnt1
siege	siege	nn1
,	,	y
the	the	at
hijackers	hijacker	nn2
released	release	vvn_vvd@
the	the	at
70	70	mc
passengers	passenger	nn2
,	,	y
including	including	ii
four	four	mc
Americans	american	nn2
,	,	y
and	and	cc
blew	blow	vvd
up	up	rp
the	the	at
plane	plane	nn1
.	.	y
Last	last	md
week	week	nnt1
one	one	mc1
of	of	io
the	the	at
terrorists	terrorist	nn2
was	be	vbdz
finally	finally	rr
haled	haled	vvn
into	into	ii
court	court	nn1
 -- 	--	nn1
in	in	ii
Washington	washington	np1
.	.	y
Fawaz	fawaz	vv0_np1@_nn1	
Younis	younis	np1_nn1	
,	,	y
28	28	mc
,	,	y
had	have	vhd
been	be	vbn
lured	lure	vvn
aboard	aboard	ii
a	a	at1
yacht	yacht	nn1
in	in	ii
international	international	jj
waters	water	nn2
off	off	ii
Cyprus	cyprus	np1
,	,	y
arrested	arrest	vvn
by	by	ii
the	the	at
FBI	fbi	np1
and	and	cc
flown	fly	vvn
to	to	ii
Andrews	andrews	np1
Air	air	nn1
Force	force	nn1
Base	base	nn1
.	.	y
If	if	cs
convicted	convict	vvn
on	on	ii
charges	charge	nn2
of	of	io
hostage	hostage	nn1
taking	take	vvg
,	,	y
he	he	pphs1
could	could	vm
face	face	vvi
life	life	nn1
in	in	ii
prison	prison	nn1
.	.	y
<P>	<p>	null	
Younis	younis	nn1_np1@	
,	,	y
a	a	at1
Lebanese	lebanese	jj
Amal	amal	jj
militiaman	militiaman	nn1
,	,	y
had	have	vhd
appeared	appear	vvn
on	on	ii
television	television	nn1
as	as	ii_csa
a	a	at1
spokesman	spokesman	nn1
for	for	if
the	the	at
hijackers	hijacker	nn2
.	.	y
He	he	pphs1
is	be	vbz
the	the	at
first	first	md
person	person	nn1
charged	charge	vvn_vvd
under	under	ii_rp@
a	a	at1
1984	1984	mc
federal	federal	jj
hostage-taking	hostage-taking	nn1
statute	statute	nn1
that	that	cst_dd1
gives	give	vvz
the	the	at
U.S.	u.s.-	np1
jurisdiction	jurisdiction	nn1
over	over	ii
terrorist	terrorist	jj_nn1
acts	act	nn2_vvz
overseas	overseas	rl
involving	involve	vvg
American	american	jj
citizens	citizen	nn2
.	.	y
