@@336953	##	fo
DIED	die	vvd_vvn@
.	.	y
Luther	luther	vv0_np1@
Terry	terry	np1
,	,	y
73	73	mc
,	,	y
physician	physician	nn1
,	,	y
U.S.	u.s.-	np1
Surgeon	surgeon	nn1
General	general	nn1
from	from	ii
1961	1961	mc
to	to	ii
1965	1965	mc
and	and	cc
head	head	nn1
of	of	io
the	the	at
panel	panel	nn1
whose	whose	ddqge
careful	careful	jj
,	,	y
comprehensive	comprehensive	jj_nn1@
1964	1964	mc
report	report	nn1_vv0@
on	on	ii
smoking	smoking	nn1_vvg_jj
and	and	cc
health	health	nn1
 -- 	--	nn1
the	the	at
first	first	md
authoritative	authoritative	jj
statement	statement	nn1
that	that	cst_dd1
smoking	smoking	jj_nn1
cigarettes	cigarette	nn2
increased	increase	vvd_vvn
the	the	at
risk	risk	nn1
of	of	io
death	death	nn1
from	from	ii
lung	lung	nn1
cancer	cancer	nn1
,	,	y
emphysema	emphysema	nn1
and	and	cc
coronary-artery	coronary-artery	jj_nn1	
disease	disease	nn1
 -- 	--	nn1
encouraged	encourage	vvd_vvn
thousands	thousands	m
of	of	io
Americans	american	nn2
to	to	to
kick	kick	vvi
the	the	at
habit	habit	nn1
;	;	y
of	of	io
heart	heart	nn1
disease	disease	nn1
;	;	y
in	in	ii
Philadelphia	philadelphia	np1
.	.	y
