@@334453	##	fo
It	it	pph1
is	be	vbz
fast	fast	rr
 -- 	--	zz
four	four	mc
times	time	nnt2
as	as	rg
quick	quick	jj_rr@
as	as	ii_csa
the	the	at
original	original	jj_nn1@
.	.	y
It	it	pph1
is	be	vbz
loud	loud	jj_rr
 -- 	--	nn1_jj
with	with	iw
stereo	stereo	nn1
sound	sound	nn1
.	.	y
It	it	pph1
is	be	vbz
expandable	expandable	jj
 -- 	--	nn1_jj
with	with	iw
six	six	mc
plug-in	plug-in	jj
slots	slot	nn2
for	for	if
peripheral	peripheral	jj
devices	device	nn2
.	.	y
And	and	cc
for	for	if
the	the	at
first	first	md
time	time	nnt1
on	on	ii
a	a	at1
Macintosh	macintosh	np1
screen	screen	nn1
,	,	y
it	it	pph1
has	have	vhz
color	color	nn1
selected	select	vvn
from	from	ii
a	a	at1
palette	palette	nn1
of	of	io
16	16	mc
million	million	m
hues	hue	nn2
and	and	cc
displayed	display	vvn_vvd
on	on	ii_rp@
a	a	at1
13-inch	13-inch	nnu1_jj
monitor	monitor	nn1
.	.	y
This	this	dd1
week	week	nnt1
Apple	apple	nn1
Computer	computer	nn1
unveiled	unveil	vvd
its	its	appge
Mac	mac	nn1@_np1
II	ii	mc
,	,	y
a	a	at1
spiffy	spiffy	jj_nn1
unit	unit	nn1
priced	price	vvn
at	at	ii
$3,899	$3,899	nnu	
(	(	y
monitor	monitor	vv0
not	not	xx
included	include	vvn
)	)	y
.	.	y
Yet	yet	rr
the	the	at
Mac	mac	np1_nn1@
II	ii	mc
is	be	vbz
most	most	rgt
notable	notable	jj
for	for	if
a	a	at1
departure	departure	nn1
from	from	ii
Apple	apple	nn1
's	's	ge
previous	previous	jj
products	product	nn2
:	:	y
with	with	iw
the	the	at
proper	proper	jj
accessories	accessory	nn2
,	,	y
it	it	pph1
can	can	vm
run	run	vvi
the	the	at
huge	huge	jj
library	library	nn1
of	of	io
software	software	nn1
written	write	vvn
for	for	if
the	the	at
IBM	ibm	np1
PC	pc	nn1
.	.	y
Says	say	vvz
Apple	apple	nn1
Chairman	chairman	nn1
John	john	np1
Sculley	sculley	np1
,	,	y
who	who	pnqs
bucked	buck	vvd
ten	ten	mc
years	year	nnt2
of	of	io
go-it-alone	go-it-alone	jj
tradition	tradition	nn1
to	to	to
make	make	vvi
Big	big	jj
Red	red	jj
compatible	compatible	jj
with	with	iw
Big	big	jj
Blue	blue	nn1@_jj
:	:	y
"	"	"
This	this	dd1
is	be	vbz
no	no	rr21
longer	long	rr22
a	a	at1
religious	religious	jj
issue	issue	nn1
here	here	rl
.	.	y
"	"	"
