@@330558	##	fo
"	"	"
Folks	folk	nn2
,	,	y
this	this	dd1
is	be	vbz
Pearl	pearl	np1_nn1
,	,	y
"	"	"
boomed	boom	vvd
the	the	at
familiar	familiar	jj
voice	voice	nn1
after	after	ii_cs
Amtrak	amtrak	np1
's	's	ge
Chicago-to-New	chicago-to-new	np1	
York	york	np1
train	train	nn1
collided	collide	vvd_vvn
last	last	md
week	week	nnt1
in	in	ii
the	the	at
middle	middle	nn1
of	of	io
the	the	at
night	night	nnt1
with	with	iw
a	a	at1
stalled	stall	jj@
truck	truck	nn1
and	and	cc
derailed	derail	vvn_vvd
near	near	ii
Mansfield	mansfield	np1
,	,	y
Ohio	ohio	np1
.	.	y
The	the	at
unofficial	unofficial	jj
conductor	conductor	nn1
was	be	vbdz
Pearl	pearl	np1
Bailey	bailey	np1
,	,	y
67	67	mc
,	,	y
traveling	travel	vvg
to	to	ii
Manhattan	manhattan	np1
to	to	to
chair	chair	vvi
the	the	at
opening	opening	nn1
of	of	io
the	the	at
1985	1985	mc
Christmas	christmas	nnt1
Seal	seal	nn1_vv0
ceremonies	ceremony	nn2
.	.	y
Talking	talk	vvg
through	through	ii_rp@
a	a	at1
loudspeaker	loudspeaker	nn1
,	,	y
the	the	at
veteran	veteran	jj_nn1
singer	singer	nn1
soothed	soothe	vvd_vvn
jangled	jangle	jj@
nerves	nerve	nn2
among	among	ii
the	the	at
425	425	mc
passengers	passenger	nn2
.	.	y
After	after	ii_cs
two	two	mc
more	more	dar
days	day	nnt2
of	of	io
traveling	travel	vvg_nn1@
,	,	y
Bailey	bailey	np1
hit	hit	vvd
a	a	at1
traffic	traffic	nn1
jam	jam	nn1_vv0
outside	outside	ii
New	new	np1
York	york	np1
City	city	nn1
.	.	y
Christmas	christmas	nnt1
Seal	seal	nn1_vv0
officials	official	nn2
who	who	pnqs
had	have	vhd
spotted	spot	vvn
Dolly	dolly	np1
Parton	parton	np1
,	,	y
39	39	mc
,	,	y
having	have	vhg
lunch	lunch	nn1
asked	ask	vvn
her	her	ppho1
to	to	to
stand	stand	vvi
in	in	rp@
for	for	if
Pearlie	pearlie	np1
Mae	mae	np1
.	.	y
As	as	csa_ii@
Parton	parton	np1
did	do	vdd
her	her	appge
part	part	nn1
,	,	y
Bailey	bailey	np1
showed	show	vvd
up	up	rp
.	.	y
A	a	at1_zz1
splendid	splendid	jj
pair	pair	nn
of	of	io
bosom	bosom	nn1
buddies	buddy	nn2
,	,	y
said	say	vvd
a	a	at1
fan	fan	nn1
.	.	y
"	"	"
No	no	uh
,	,	y
"	"	"
Bailey	bailey	np1
corrected	correct	vvd
him	him	ppho1
.	.	y
"	"	"
I	i	ppis1
make	make	vv0
a	a	at1
nice	nice	jj
pair	pair	nn
.	.	y
Dolly	dolly	nn1_np1@
makes	make	vvz
lots	lots	pn
of	of	io
nice	nice	jj
pairs	pair	nn2
.	.	y
"	"	"
