@@338552	##	fo
When	when	rrq_cs
Leslie	leslie	np1
Manigat	manigat	np1
emerged	emerge	vvd
as	as	ii_csa
the	the	at
victor	victor	nn1
in	in	ii
Haiti	haiti	np1
's	's	ge
presidential	presidential	jj
elections	election	nn2
last	last	md
January	january	npm1
,	,	y
it	it	pph1
was	be	vbdz
assumed	assume	vvn
that	that	cst
the	the	at
former	former	da
political	political	jj
exile	exile	nn1
would	would	vm
act	act	vvi
as	as	ii
a	a	at1
puppet	puppet	nn1
for	for	if
the	the	at
outgoing	outgoing	jj
military	military	jj
junta	junta	nn1
led	lead	vvn
by	by	ii
Lieut	lieut	np1_nn1
.	.	y
General	general	nnb
Henri	henri	np1
Namphy	namphy	np1_nn1	
.	.	y
But	but	ccb
last	last	md
week	week	nnt1
it	it	pph1
was	be	vbdz
the	the	at
puppet	puppet	nn1
who	who	pnqs
pulled	pull	vvd
the	the	at
strings	string	nn2
.	.	y
In	in	ii
a	a	at1
communique	communique	nn1
read	read	vvd_vvn
over	over	rp_ii
Haitian	haitian	jj
television	television	nn1
and	and	cc
radio	radio	nn1
,	,	y
Manigat	manigat	np1
dismissed	dismiss	vvd
Namphy	namphy	jj_np1_nn1	
as	as	csa_ii@
Commander	commander	nn1
in	in	ii
Chief	chief	nn1
of	of	io
the	the	at
army	army	nn1
for	for	if
"	"	"
insubordination	insubordination	nn1
"	"	"
and	and	cc
fired	fire	vvd_vvn
two	two	mc
other	other	jj
generals	general	nn2
on	on	ii
Namphy	namphy	np1
's	's	ge
staff	staff	nn
.	.	y
<P>	<p>	null	
The	the	at
power	power	nn1
struggle	struggle	nn1
broke	break	vvd
into	into	ii
the	the	at
open	open	jj
when	when	cs_rrq
Manigat	manigat	np1
rescinded	rescind	vvd
an	an	at1
order	order	nn1
by	by	ii
Namphy	namphy	jj_np1_nn1	
to	to	to
transfer	transfer	vvi
and	and	cc
retire	retire	vvi
several	several	da2
top-ranking	top-ranking	jj
officers	officer	nn2
loyal	loyal	jj
to	to	ii
the	the	at
government	government	nn1
.	.	y
After	after	cs_ii
Namphy	namphy	np1
defied	defy	vvd
the	the	at
repeal	repeal	nn1
,	,	y
Manigat	manigat	np1_nn1	
moved	move	vvd_vvn
against	against	ii
him	him	ppho1
,	,	y
but	but	ccb
the	the	at
President	president	nn1
may	may	vm
have	have	vhi
to	to	to
pull	pull	vvi
a	a	at1
few	few	da2
more	more	dar
strings	string	nn2
before	before	cs
he	he	pphs1
can	can	vm
prove	prove	vvi
that	that	cst
he	he	pphs1
is	be	vbz
in	in	rr21
full	full	rr22
control	control	vv0_nn1
.	.	y
