@@333145	##	fo
Several	several	da2
Middle	middle	jj
East	east	nd1
governments	government	nn2
,	,	y
including	including	ii
Libya	libya	np1
,	,	y
Syria	syria	np1
and	and	cc
Iran	iran	np1
,	,	y
have	have	vh0
long	long	rr
been	be	vbn
suspected	suspect	vvn
of	of	io
smuggling	smuggle	vvg_nn1
weapons	weapon	nn2
and	and	cc
bombs	bomb	nn2
for	for	if
terrorists	terrorist	nn2
into	into	ii
Europe	europe	np1
in	in	ii
sealed	seal	jj
diplomatic	diplomatic	jj
bags	bag	nn2
,	,	y
which	which	ddq
according	according	ii21
to	to	ii22
tradition	tradition	nn1
are	be	vbr
not	not	xx
opened	open	vvn
for	for	if
inspection	inspection	nn1
by	by	ii
the	the	at
host	host	nn1
country	country	nn1
.	.	y
Italy	italy	np1
,	,	y
a	a	at1
country	country	nn1
hard	hard	rr
hit	hit	vvn
by	by	ii
terrorism	terrorism	nn1
,	,	y
last	last	md
week	week	nnt1
announced	announce	vvd_vvn
a	a	at1
new	new	jj
policy	policy	nn1
:	:	y
from	from	rt31
now	now	rt32
on	on	rt33
all	all	db_rr@
incoming	incoming	jj
diplomatic	diplomatic	jj
bags	bag	nn2
will	will	vm
be	be	vbi
screened	screen	vvn
by	by	ii
metal	metal	nn1
detectors	detector	nn2
.	.	y
<P>	<p>	null	
Customs	custom	nn2
officials	official	nn2
will	will	vm
check	check	vvi
the	the	at
bags	bag	nn2
at	at	ii
Rome	rome	np1
's	's	ge
Leonardo	leonardo	np1
da	da	np1
Vinci	vinci	np1
Airport	airport	nn1
,	,	y
where	where	cs_rrq
almost	almost	rr
all	all	db
diplomatic	diplomatic	jj
mail	mail	nn1
arrives	arrive	vvz
as	as	csa_ii@
air	air	nn1
freight	freight	nn1
.	.	y
Eventually	eventually	rr
,	,	y
provisions	provision	nn2
will	will	vm
be	be	vbi
made	make	vvn
to	to	to
inspect	inspect	vvi
pouches	pouch	nn2
arriving	arrive	vvg
by	by	ii
sea	sea	nn1
,	,	y
train	train	nn1_vv0
or	or	cc
automobile	automobile	nn1
from	from	ii
third	third	md
countries	country	nn2
.	.	y
The	the	at
metal	metal	nn1
detectors	detector	nn2
,	,	y
however	however	rr
,	,	y
have	have	vh0
one	one	mc1
major	major	jj
flaw	flaw	nn1
:	:	y
they	they	pphs2
can	can	vm
not	not	xx
detect	detect	vvi
whether	whether	csw
any	any	dd
plastic	plastic	nn1
explosives	explosive	nn2
are	be	vbr
packed	pack	vvn
in	in	ii
the	the	at
diplomatic	diplomatic	jj
pouches	pouch	nn2
.	.	y
