@@327366	##	fo
Fourteen	fourteen	mc
years	year	nnt2
after	after	ii_cs
Federal	federal	jj
Judge	judge	nn1_np1@
Arthur	arthur	np1
Garrity	garrity	np1
ordered	order	vvd
crosstown	crosstown	nn1
busing	bus	vvg
to	to	to
desegregate	desegregate	vvi
Boston	boston	np1
's	's	ge
public	public	jj_nn1
schools	school	nn2
,	,	y
the	the	at
city	city	nn1
is	be	vbz
embarking	embark	vvg
on	on	ii
another	another	dd1
overhaul	overhaul	nn1
of	of	io
its	its	appge
troubled	trouble	jj
educational	educational	jj
system	system	nn1
.	.	y
Last	last	md
week	week	nnt1
local	local	jj
experts	expert	nn2
hired	hire	vvn
by	by	ii
Mayor	mayor	nnb
Ray	ray	np1
Flynn	flynn	np1
proposed	propose	vvd
a	a	at1
new	new	jj
approach	approach	nn1
,	,	y
called	call	vvn_vvd@
controlled	control	jj@
choice	choice	nn1
,	,	y
that	that	dd1_cst
seeks	seek	vvz
to	to	to
foster	foster	vvi
competition	competition	nn1
while	while	cs
maintaining	maintain	vvg
the	the	at
painfully	painfully	rr
achieved	achieve	vvn
racial	racial	jj
balance	balance	nn1
.	.	y
Next	next	md
fall	fall	nn1
schools	school	nn2
through	through	ii
Grade	grade	nn1
8	8	mc
would	would	vm
be	be	vbi
divided	divide	vvn
among	among	ii
three	three	mc
equally	equally	rr
funded	fund	jj_vvn
zones	zone	nn2
,	,	y
with	with	iw
14,000	14,000	mc
students	student	nn2
apiece	apiece	ra
.	.	y
Within	within	ii
each	each	dd1
zone	zone	nn1
,	,	y
parents	parent	nn2
would	would	vm
be	be	vbi
allowed	allow	vvn
to	to	to
choose	choose	vvi
a	a	at1
particular	particular	jj
school	school	nn1
for	for	if
their	their	appge
child	child	nn1
,	,	y
and	and	cc
pupils	pupil	nn2
would	would	vm
be	be	vbi
assigned	assign	vvn
to	to	ii
available	available	jj
spots	spot	nn2
in	in	ii
a	a	at1
way	way	nn1
that	that	cst
preserved	preserve	vvd@_vvn
each	each	dd1
school	school	nn1
's	's	ge
racial	racial	jj
balance	balance	nn1
.	.	y
Facilities	facility	nn2
that	that	cst
failed	fail	vvd
to	to	to
attract	attract	vvi
enough	enough	dd
students	student	nn2
would	would	vm
be	be	vbi
phased	phase	vvn
out	out	rp
.	.	y
Says	say	vvz
the	the	at
plan	plan	nn1
's	's	ge
co-author	co-author	nn1
,	,	y
Charles	charles	np1
Willie	willie	np1_nn1@
of	of	io
Harvard	harvard	np1
:	:	y
"	"	"
We	we	ppis2
've	have	vh0
learned	learn	vvn
that	that	cst
the	the	at
emphasis	emphasis	nn1
has	have	vhz
to	to	to
be	be	vbi
on	on	ii
education	education	nn1
rather	rather	ii21
than	than	ii22
mixing	mix	vvg_nn1
and	and	cc
matching	matching	jj_vvg_nn1
students	student	nn2
.	.	y
"	"	"
