@@336460	##	fo
The	the	at
whir	whir	nn1
of	of	io
wheelchair	wheelchair	nn1
motors	motor	nn2
and	and	cc
chants	chant	nn2
of	of	io
"	"	"
We	we	ppis2
want	want	vv0
access	access	nn1
"	"	"
filled	fill	vvd_vvn
the	the	at
air	air	nn1
last	last	md
week	week	nnt1
,	,	y
as	as	csa
some	some	dd
200	200	mc
disabled	disabled	jj
demonstrators	demonstrator	nn2
from	from	ii
across	across	ii_rl@
the	the	at
U.S.	u.s.-	np1
picketed	pickete	vvd
the	the	at
annual	annual	jj
convention	convention	nn1
of	of	io
the	the	at
American	american	jj
Public	public	jj_nn1
Transit	transit	nn1
Association	association	nn1
in	in	ii
San	san	np1
Francisco	francisco	np1
.	.	y
The	the	at
protesters	protester	nn2
blame	blame	vv0
association	association	nn1
members	member	nn2
for	for	if
engineering	engineer	vvg%_nn1
the	the	at
repeal	repeal	nn1
of	of	io
a	a	at1
1979	1979	mc
federal	federal	jj
mandate	mandate	nn1
that	that	cst_dd1
required	require	jj
wheelchair	wheelchair	nn1
lifts	lift	vvz_nn2
on	on	ii_rp@
all	all	db
new	new	jj
buses	bus	nn2
and	and	cc
rail	rail	nn1
systems	system	nn2
as	as	ii31
well	well	ii32
as	as	ii33
the	the	at
phased	phased	jj@
modification	modification	nn1
of	of	io
existing	existing	jj
systems	system	nn2
.	.	y
<P>	<p>	null	
On	on	ii
Powell	powell	np1
Street	street	nnl1
some	some	dd
protesters	protester	nn2
chained	chain	vvd_vvn
their	their	appge
wheelchairs	wheelchair	nn2
to	to	ii
the	the	at
city	city	nn1
's	's	ge
century-old	century-old	jj
cable	cable	nn1
cars	car	nn2
.	.	y
Others	other	nn2
crawled	crawl	vvn_vvd
or	or	cc
rolled	roll	vvd_vvn
onto	onto	ii
the	the	at
tracks	track	nn2
,	,	y
shutting	shut	vvg
down	down	rp_ii@
the	the	at
system	system	nn1
for	for	if
two	two	mc
hours	hour	nnt2
.	.	y
Many	many	da2
of	of	io
the	the	at
134	134	mc
arrested	arrest	jj%_vvn_vvd@
protesters	protester	nn2
were	be	vbdr
carted	cart	vvn
off	off	rp
in	in	ii
lift-equipped	lift-equipped	jj_nn1	
buses	bus	nn2
and	and	cc
vans	van	nn2
.	.	y
