@@332260	##	fo
Daylight	daylight	nn1
saving	save	ii@_nn1_vvg
time	time	nnt1
,	,	y
first	first	md
suggested	suggest	vvn
by	by	ii
Benjamin	benjamin	np1
Franklin	franklin	np1
in	in	ii
1784	1784	mc
as	as	ii
a	a	at1
means	mean	nn
of	of	io
cutting	cut	vvg
down	down	rp
on	on	ii
candle	candle	nn1
consumption	consumption	nn1
,	,	y
is	be	vbz
a	a	at1
proven	prove	jj
conservator	conservator	nn1
of	of	io
another	another	dd1
of	of	io
Franklin	franklin	np1
's	's	ge
tinkering	tinker	jj@_vvg_nn1@
projects	project	nn2
,	,	y
namely	namely	rex
electricity	electricity	nn1
.	.	y
But	but	ccb
the	the	at
system	system	nn1
also	also	rr
forces	force	vvz@
some	some	dd
early	early	jj
risers	riser	nn2
in	in	ii
the	the	at
springtime	springtime	nnt1
to	to	to
start	start	vvi
their	their	appge
day	day	nnt1
in	in	ii
the	the	at
dark	dark	nn1_jj
.	.	y
The	the	at
dilemma	dilemma	nn1
:	:	y
When	when	rrq
best	best	rrt
to	to	to
make	make	vvi
the	the	at
twice-yearly	twice-yearly	jj
time	time	nnt1
change	change	nn1_vv0
?	?	y
<P>	<p>	null	
Last	last	md
week	week	nnt1
Congress	congress	nn1
apparently	apparently	rr
decided	decide	vvd_vvn
the	the	at
U.S.	u.s.-	np1
should	should	vm
"	"	"
spring	spring	vv0@_nn1
forward	forward	rl_nn1@
"	"	"
three	three	mc
weeks	week	nnt2
earlier	early	rrr
than	than	csn
it	it	pph1
does	do	vdz
now	now	rt
.	.	y
The	the	at
Senate	senate	nn1
passed	pass	vvd_vvn
a	a	at1
bill	bill	nn1
setting	set	vvg
the	the	at
first	first	md
Sunday	sunday	npd1
in	in	ii
April	april	npm1
as	as	ii
the	the	at
opening	opening	nn1
of	of	io
daylight	daylight	nn1
time	time	nnt1
,	,	y
beginning	begin	vvg
next	next	md
year	year	nnt1
.	.	y
)	)	y
Observers	observer	nn2
expect	expect	vv0
that	that	cst
the	the	at
bill	bill	nn1
will	will	vm
be	be	vbi
reconciled	reconcile	vvn
with	with	iw
a	a	at1
similar	similar	jj
measure	measure	nn1
passed	pass	vvn
by	by	ii
the	the	at
House	house	nn1
,	,	y
which	which	ddq
would	would	vm
also	also	rr
add	add	vvi
a	a	at1
week	week	nnt1
at	at	ii
the	the	at
end	end	nn1
of	of	io
daylight	daylight	nn1
time	time	nnt1
before	before	ii_cs
the	the	at
annual	annual	jj
"	"	"
fall	fall	nn1_vv0
back	back	nn1_rp
.	.	y
"	"	"
