@@332566	##	fo
I	i	zz1%
'll	will	vm
Take	take	vv0
Manhattan	manhattan	np1
is	be	vbz
the	the	at
latest	late	jjt
of	of	io
Judith	judith	np1
Krantz	krantz	np1
's	's	ge_vbz
steamy	steamy	jj
best-selling	best-selling	jj
novels	novel	nn2
to	to	to
be	be	vbi
made	make	vvn
into	into	ii
a	a	at1
TV	tv	nn1
mini-series	mini-series	nn
.	.	y
This	this	dd1
one	one	pn1
,	,	y
scheduled	schedule	vvn_jj
for	for	if
CBS	cbs	np1
next	next	md
season	season	nnt1
,	,	y
stars	star	nn2_vvz%
Valerie	valerie	np1
Bertinelli	bertinelli	np1_nn1
as	as	csa_ii@
Maxi	maxi	np1
Amberville	amberville	np1
,	,	y
heiress	heiress	nn1
to	to	ii
a	a	at1
troubled	trouble	jj
publishing	publish	nn1
empire	empire	nn1
.	.	y
When	when	rrq_cs
things	thing	nn2
look	look	vv0
bad	bad	jj
,	,	y
sexy	sexy	jj
Maxi	maxi	np1
turns	turn	vvz_nn2@
for	for	if
aid	aid	nn1
to	to	ii
a	a	at1
worldly	worldly	jj
real	real	jj
estate	estate	nn1
developer	developer	nn1
named	name	vvd
Donald	donald	np1
Trump	trump	nn1_vv0
,	,	y
played	play	vvn
by	by	ii
Donald	donald	np1
Trump	trump	nn1_vv0
.	.	y
The	the	at
megamogul	megamogul	nn1	
had	have	vhd
a	a	at1
small	small	jj
,	,	y
key	key	jj_nn1
speaking	speak	jj@_nn1@_vvg
part	part	nn1
in	in	ii
a	a	at1
scene	scene	nn1
that	that	cst_dd1
was	be	vbdz
filmed	film	vvn
last	last	md
week	week	nnt1
in	in	ii
 -- 	--	nn1_jj
where	where	rrq
else	else	rr
?	?	y
 -- 	--	nn1
his	his	appge
own	own	da
Trump	trump	nn1
Tower	tower	nn1
.	.	y
Sighed	sigh	vvd
Bertinelli	bertinelli	np1
:	:	y
"	"	"
He	he	pphs1
's	be	vbz
so	so	rg_rr
handsome	handsome	jj
.	.	y
"	"	"
Trump	trump	vv0_nn1
,	,	y
an	an	at1
old	old	jj
friend	friend	nn1
of	of	io
Krantz	krantz	np1
's	's	ge_vbz
,	,	y
was	be	vbdz
her	her	appge
choice	choice	nn1
for	for	if
the	the	at
part	part	nn1
,	,	y
and	and	cc
she	she	pphs1
too	too	rr@
was	be	vbdz
pleased	pleased	jj_vvn@
:	:	y
"	"	"
He	he	pphs1
got	get	vvd
the	the	at
role	role	nn1
letter	letter	nn1
perfect	perfect	jj_vv0@
.	.	y
"	"	"
Trump	trump	nn1_vv0
's	's	ge
accordion-pleated	accordion-pleated	jj
glass	glass	nn1
building	building	nn1_vvg@
on	on	ii
Fifth	fifth	np1
Avenue	avenue	nnl1
,	,	y
the	the	at
locale	locale	nn1
of	of	io
the	the	at
fictional	fictional	jj
Maxi	maxi	np1
's	's	ge
apartment	apartment	nn1
,	,	y
also	also	rr
had	have	vhn@_vhd
excellent	excellent	jj
lines	line	nn2
.	.	y
