@@329169	##	fo
Colombia	colombia	np1
's	's	ge
Banco	banco	np1
de	de	np1
Occidente	occidente	np1
has	have	vhz
no	no	at
U.S.	u.s.-	np1
branches	branch	nn2_vvz@
,	,	y
but	but	ccb
its	its	appge
Panamanian	panamanian	jj
subsidiary	subsidiary	nn1
did	do	vdd
a	a	at1
booming	booming	jj
underground	underground	jj
business	business	nn1
in	in	ii
America	america	np1
.	.	y
The	the	at
Panama	panama	np1
bank	bank	nn1
is	be	vbz
expected	expect	vvn_jj
to	to	to
plead	plead	vvi
guilty	guilty	jj
in	in	ii
Atlanta	atlanta	np1
federal	federal	jj
court	court	nn1
this	this	dd1
week	week	nnt1
to	to	ii
charges	charge	nn2
that	that	cst
it	it	pph1
laundered	launder	vvd
hundreds	hundreds	m
of	of	io
millions	millions	m
of	of	io
dollars	dollar	nnu2
in	in	ii
drug	drug	nn1
profits	profit	nn2_vvz@
for	for	if
Colombia	colombia	np1
's	's	ge
Medellin	medellin	np1_nn1@
cocaine	cocaine	nn1
cartel	cartel	nn1
.	.	y
The	the	at
bank	bank	nn1
allegedly	allegedly	rr
collected	collect	vvd_vvn
the	the	at
illicit	illicit	jj
money	money	nn1
in	in	ii
New	new	np1
York	york	np1
bank	bank	nn1
accounts	account	nn2
,	,	y
from	from	ii
which	which	ddq
money	money	nn1
was	be	vbdz
wired	wire	vvn
electronically	electronically	rr
to	to	ii
Europe	europe	np1
and	and	cc
Latin	latin	jj
America	america	np1
.	.	y
<P>	<p>	null	
As	as	ii
part	part	nn1
of	of	io
the	the	at
plea	plea	nn1
agreement	agreement	nn1
,	,	y
the	the	at
Panamanian	panamanian	jj
bank	bank	nn1
could	could	vm
pay	pay	vvi
a	a	at1
$5	$5	nnu
million	million	m
fine	fine	jj
,	,	y
giving	give	vvg
up	up	rp
most	most	dat
of	of	io
its	its	appge
$6.7	$6.7	nnu
million	million	m
net	net	jj
worth	worth	nn1@
.	.	y
The	the	at
fine	fine	jj_nn1%
would	would	vm
be	be	vbi
the	the	at
largest	large	jjt
U.S.	u.s.-	np1
penalty	penalty	nn1
ever	ever	rr
paid	pay	vvn
by	by	ii
a	a	at1
bank	bank	nn1
on	on	ii
money-laundering	money-laundering	jj_nn1
charges	charge	nn2
and	and	cc
would	would	vm
be	be	vbi
the	the	at
first	first	md
time	time	nnt1
a	a	at1
foreign	foreign	jj
bank	bank	nn1
with	with	iw
no	no	at
formal	formal	jj
operations	operation	nn2
in	in	ii
the	the	at
U.S.	u.s.-	np1
has	have	vhz
been	be	vbn
convicted	convict	vvn
of	of	io
such	such	da
violations	violation	nn2
.	.	y
