@@328777	##	fo
Kraft	kraft	np1
made	make	vvd
a	a	at1
lot	lot	nn1
of	of	io
its	its	appge
customers	customer	nn2
ecstatic	ecstatic	jj
last	last	md
week	week	nnt1
,	,	y
then	then	rt
made	make	vvd_vvn
them	them	ppho2
furious	furious	jj
.	.	y
In	in	ii
the	the	at
company	company	nn1
's	be	vbz
Ready	ready	jj_rr@
to	to	ii
Roll	roll	nn1
contest	contest	nn1
in	in	ii
Chicago	chicago	np1
and	and	cc
Houston	houston	np1
,	,	y
readers	reader	nn2
matched	match	vvn_jj@_vvd@
game	game	nn1
pieces	piece	nn2
in	in	ii
a	a	at1
newspaper	newspaper	nn1
ad	ad	nn1_ra
with	with	iw
ones	one	nn2
on	on	ii_rp@
specially	specially	rr
marked	marked	jj_vvn
packages	package	nn2
of	of	io
cheese	cheese	nn1
.	.	y
Only	only	rr
a	a	at1
few	few	da2
were	be	vbdr
supposed	supposed	jj
to	to	to
match	match	vvi
,	,	y
but	but	ccb
a	a	at1
printing	printing	nn1
error	error	nn1
produced	produce	vvd_vvn
millions	millions	m
of	of	io
potential	potential	jj_nn1
winners	winner	nn2
.	.	y
Worse	bad	jjr_rrr@
,	,	y
hundreds	hundreds	m
of	of	io
people	people	nn
thought	think	vvd_nn1
they	they	pphs2
had	have	vhd
won	win	vvn
the	the	at
grand	grand	jj
prize	prize	nn1
:	:	y
a	a	at1
$17,000	$17,000	nnu
Dodge	dodge	np1_vv0@
Caravan	caravan	nn1
.	.	y
In	in	ii31
response	response	ii32
to	to	ii33
customer	customer	nn1
complaints	complaint	nn2
,	,	y
the	the	at
food	food	nn1
giant	giant	nn1
offered	offer	vvd_vvn
a	a	at1
compromise	compromise	nn1
:	:	y
$250	$250	nnu
in	in	ii
cash	cash	nn1
for	for	if
winners	winner	nn2
of	of	io
the	the	at
van	van	nn1
,	,	y
lesser	lesser	jj
amounts	amount	nn2
for	for	if
the	the	at
other	other	jj
winners	winner	nn2
,	,	y
and	and	cc
a	a	at1
drawing	drawing	nn1
for	for	if
four	four	mc
times	time	nnt2
the	the	at
original	original	jj
number	number	nn1
of	of	io
prizes	prize	nn2
.	.	y
