@@336559	##	fo
Inside	inside	ii
the	the	at
meeting	meeting	nn1
hall	hall	nn1
at	at	ii
the	the	at
seaside	seaside	nn1
resort	resort	nn1
of	of	io
Blackpool	blackpool	np1
,	,	y
the	the	at
feeling	feel	nn1
of	of	io
jubilation	jubilation	nn1
was	be	vbdz
palpable	palpable	jj
.	.	y
Prime	prime	jj
Minister	minister	nn1
Margaret	margaret	np1
Thatcher	thatcher	np1
and	and	cc
4,000	4,000	mc
representatives	representative	nn2
of	of	io
her	her	appge
Conservative	conservative	jj
Party	party	nn1
had	have	vhd
gathered	gather	vvn
for	for	if
the	the	at
first	first	md
annual	annual	jj
party	party	nn1
conference	conference	nn1
since	since	ii
rolling	roll	vvg
to	to	ii
victory	victory	nn1
at	at	ii
the	the	at
polls	poll	nn2
last	last	md
June	june	npm1
for	for	if
the	the	at
third	third	md
successive	successive	jj
time	time	nnt1
.	.	y
Declared	declare	vvd_vvn_jj@	
Thatcher	thatcher	np1
:	:	y
"	"	"
We	we	ppis2
now	now	rt
have	have	vh0
a	a	at1
new	new	jj
Britain	britain	np1
:	:	y
confident	confident	jj
,	,	y
optimistic	optimistic	jj
,	,	y
sure	sure	jj
of	of	io
its	its	appge
economic	economic	jj
strength	strength	nn1
.	.	y
"	"	"
<P>	<p>	null	
Still	still	rr
,	,	y
the	the	at
delegates	delegate	nn2
were	be	vbdr
not	not	xx
complacent	complacent	jj
.	.	y
The	the	at
theme	theme	nn1
of	of	io
the	the	at
annual	annual	jj
conference	conference	nn1
was	be	vbdz
"	"	"
Action	action	nn1
for	for	if
the	the	at
Third	third	md
Term	term	nn1
,	,	y
"	"	"
and	and	cc
there	there	ex
was	be	vbdz
much	much	da1_rr
talk	talk	nn1
of	of	io
finding	find	vvg_nn1_jj@
ways	way	nn2
to	to	to
keep	keep	vvi
the	the	at
Thatcher	thatcher	np1
revolution	revolution	nn1
from	from	ii
running	run	vvg_nn1
out	out	ii21
of	of	ii22
steam	steam	nn1
.	.	y
The	the	at
Tories	tory	nn2
thus	thus	rr
endorsed	endorse	vvn_vvd
further	far	rrr
cuts	cut	vvz_nn2
in	in	ii_rp@
taxes	tax	nn2
,	,	y
tougher	tough	jjr
anticrime	anticrime	nn1
measures	measure	nn2
and	and	cc
new	new	jj
curbs	curb	vvz_nn2%
on	on	ii
labor	labor	nn1
unions	union	nn2
.	.	y
