@@329874	##	fo
"	"	"
The	the	at
harm	harm	nn1_vv0
you	you	ppy
are	be	vbr
doing	do	vdg
by	by	ii
espousing	espouse	vvg
the	the	at
'	'	ge
pro-choice	pro-choice	nn1
'	'	ge
view	view	nn1
will	will	vm
require	require	vvi
great	great	jj
efforts	effort	nn2
to	to	to
repair	repair	vvi
,	,	y
"	"	"
San	san	np1
Diego	diego	np1
Bishop	bishop	np1
Leo	leo	np1
Maher	maher	np1
wrote	write	vvd
last	last	md
week	week	nnt1
to	to	ii
Lucy	lucy	np1
Killea	killea	np1	
,	,	y
67	67	mc
,	,	y
a	a	at1
Democrat	democrat	nn1
running	run	vvg_nn1
in	in	ii_rp@
a	a	at1
special	special	jj
election	election	nn1
for	for	if
California	california	np1
's	's	ge
state	state	nn1
senate	senate	nn1
.	.	y
He	he	pphs1
then	then	rt
applied	apply	vvd
a	a	rr21
little	little	rr22
used	use	jj_vvn
sanction	sanction	nn1_vv0
that	that	cst_dd1
denies	deny	vvz
Communion	communion	nn1
to	to	ii
Catholics	catholic	nn2
who	who	pnqs
"	"	"
obstinately	obstinately	rr
persist	persist	vv0
in	in	ii_rp@
manifest	manifest	jj
grave	grave	jj_nn1
sin	sin	nn1
.	.	y
"	"	"
Killea	killea	np1	
says	say	vvz
she	she	pphs1
will	will	vm
abide	abide	vvi
by	by	ii
the	the	at
decree	decree	nn1
but	but	ccb
will	will	vm
not	not	xx
change	change	vvi
her	her	appge
position	position	nn1
.	.	y
She	she	pphs1
is	be	vbz
the	the	at
first	first	md
political	political	jj
candidate	candidate	nn1
to	to	to
receive	receive	vvi
this	this	dd1
censure	censure	nn1
.	.	y
<P>	<p>	null	
Catholics	catholic	nn2
who	who	pnqs
take	take	vv0
pro-choice	pro-choice	nn1_jj@
stands	stand	nn2
have	have	vh0
been	be	vbn
particularly	particularly	rr
frustrating	frustrating	jj
to	to	ii
the	the	at
nation	nation	nn1
's	's	ge
bishops	bishop	nn2
,	,	y
who	who	pnqs
have	have	vh0
been	be	vbn
asked	ask	vvn@
to	to	to
respond	respond	vvi
decisively	decisively	rr
to	to	ii
dissenters	dissenter	nn2
.	.	y
But	but	ccb
a	a	at1
spokesman	spokesman	nn1
said	say	vvd
it	it	pph1
is	be	vbz
highly	highly	rr
unlikely	unlikely	jj
that	that	cst
Maher	maher	np1
's	's	ge
precedent	precedent	nn1
would	would	vm
become	become	vvi
national	national	jj
Catholic	catholic	jj_nn1
policy	policy	nn1
.	.	y
