@@328279	##	fo
Vartan	vartan	jj_np1_nn1	
Gregorian	gregorian	jj_nn1@
,	,	y
newly	newly	rr
installed	install	vvn_vvd
president	president	nn1
of	of	io
Brown	brown	np1_jj@
University	university	nn1
,	,	y
last	last	md
week	week	nnt1
decried	decry	vvd
the	the	at
poor	poor	jj
quality	quality	nn1
of	of	io
America	america	np1
's	's	ge
public	public	jj_nn1
schools	school	nn2
.	.	y
An	an	at1
excerpt	excerpt	nn1
:	:	y
<P>	<p>	null	
"	"	"
Now	now	rt
,	,	y
in	in	ii
the	the	at
midst	midst	nn1
of	of	io
the	the	at
explosion	explosion	nn1
of	of	io
information	information	nn1
,	,	y
knowledge	knowledge	nn1
and	and	cc
complex	complex	jj
challenges	challenge	nn2
facing	face	vvg
us	us	ppio2
,	,	y
the	the	at
American	american	jj
university	university	nn1
can	can	vm
not	not	xx
afford	afford	vvi
the	the	at
luxury	luxury	nn1
of	of	io
transforming	transform	vvg
its	its	appge
first	first	md
two	two	mc
years	year	nnt2
of	of	io
instruction	instruction	nn1
to	to	to
meet	meet	vvi
the	the	at
woeful	woeful	jj
inadequacies	inadequacy	nn2
of	of	io
our	our	appge
public	public	jj_nn1
school	school	nn1
system	system	nn1
.	.	y
We	we	ppis2
can	can	vm
not	not	xx
afford	afford	vvi
to	to	to
relegate	relegate	vvi
50%	50%	nnu
of	of	io
the	the	at
university	university	nn1
's	's	ge
time	time	nnt1
and	and	cc
resources	resource	nn2
to	to	ii
remedial	remedial	jj
work	work	nn1
.	.	y
.	.	y
.	.	y
The	the	at
universities	university	nn2
in	in	ii
two	two	mc
years	year	nnt2
can	can	vm
not	not	xx
do	do	vdi
justice	justice	nn1
to	to	ii
twelve	twelve	mc
years	year	nnt2
of	of	io
neglect	neglect	nn1
in	in	ii
learning	learning	nn1_vvg
.	.	y
We	we	ppis2
are	be	vbr
our	our	appge
high	high	jj
schools	school	nn2
'	'	ge
keepers	keeper	nn2
.	.	y
The	the	at
nation	nation	nn1
must	must	vm
take	take	vvi
preventive	preventive	jj
measures	measure	nn2
to	to	to
reform	reform	vvi
,	,	y
strengthen	strengthen	vv0
and	and	cc
in	in	ii
some	some	dd
instances	instance	nn2
rescue	rescue	vv0
our	our	appge
high	high	jj
school	school	nn1
system	system	nn1
.	.	y
"	"	"
