@@338849	##	fo
Ah	ah	uh
,	,	y
summer	summer	nnt1
.	.	y
Time	time	nnt1
for	for	if
Soviet	soviet	jj
workers	worker	nn2
weary	weary	jj
from	from	ii
the	the	at
rigors	rigor	nn2
of	of	io
perestroika	perestroika	nn1
to	to	to
enjoy	enjoy	vvi
the	the	at
sun	sun	nn1
and	and	cc
surf	surf	nn1_vv0@
at	at	ii
their	their	appge
favorite	favorite	jj_nn1
beaches	beach	nn2
.	.	y
This	this	dd1
year	year	nnt1
,	,	y
however	however	rr
,	,	y
Soviet	soviet	jj
vacationers	vacationer	nn2
received	receive	vvd_vvn
a	a	at1
rude	rude	jj
shock	shock	nn1
:	:	y
from	from	ii
the	the	at
Baltic	baltic	np1
Sea	sea	nnl1
to	to	ii
the	the	at
Pacific	pacific	np1
Ocean	ocean	nnl1
,	,	y
;	;	y
signs	sign	nn2
warned	warn	vvd_vvn
bathers	bather	nn2
to	to	to
swim	swim	vvi
at	at	ii
their	their	appge
own	own	da
risk	risk	nn1
because	because	cs
the	the	at
water	water	nn1
was	be	vbdz
polluted	pollute	vvn
.	.	y
<P>	<p>	null	
Sound	sound	vv0@_jj@_nn1
familiar	familiar	jj
?	?	y
In	in	ii
fact	fact	nn1
,	,	y
the	the	at
Soviet	soviet	jj
Union	union	nn1
may	may	vm
face	face	vvi
a	a	at1
graver	grave	jjr
problem	problem	nn1
this	this	dd1
year	year	nnt1
than	than	csn
the	the	at
one	one	pn1
in	in	ii
the	the	at
U.S.	u.s.-	np1
,	,	y
where	where	cs_rrq
medical	medical	jj
debris	debris	nn1
and	and	cc
sewage	sewage	nn1
have	have	vh0
washed	wash	vvn
up	up	rp
on	on	ii
beaches	beach	nn2
around	around	ii
New	new	np1
York	york	np1
City	city	nn1
and	and	cc
New	new	np1
England	england	np1
.	.	y
Authorities	authority	nn2
,	,	y
for	for	rex21
example	example	rex22
,	,	y
outlawed	outlaw	vvd_vvn
swimming	swim	vvg_nn1
last	last	md
month	month	nnt1
in	in	ii
the	the	at
Sea	sea	nnl1
of	of	io
Azov	azov	np1
,	,	y
600	600	mc
miles	mile	nnu2
south	south	nd1
of	of	io
Moscow	moscow	np1
,	,	y
after	after	cs_ii
a	a	at1
local	local	jj
sewage	sewage	nn1
system	system	nn1
accidentally	accidentally	rr
spilled	spill	jj_vvn_vvd
raw	raw	jj
waste	waste	nn1
into	into	ii
the	the	at
water	water	nn1
not	not	xx
once	once	rr
but	but	ccb
twice	twice	rr
.	.	y
