@@333654	##	fo
The	the	at
placid	placid	jj
corridors	corridor	nn2
of	of	io
the	the	at
United	united	jj
Nations	nation	nn2
had	have	vhd
suddenly	suddenly	rr
been	be	vbn
transformed	transform	vvn
into	into	ii
a	a	at1
war	war	nn1
zone	zone	nn1
.	.	y
"	"	"
You	you	ppy
bandits	bandit	nn2_vvz
,	,	y
get	get	vv0
out	out	ii21
of	of	ii22
here	here	rl
!	!	!
"	"	"
angrily	angrily	rr
shouted	shout	vvd
one	one	mc1
diplomat	diplomat	nn1
.	.	y
The	the	at
objects	object	nn2
of	of	io
his	his	appge
wrath	wrath	nn1
:	:	y
two	two	mc
startled	startle	jj
representatives	representative	nn2
of	of	io
Afghanistan	afghanistan	np1
's	's	ge
U.S.-backed	u.s.-backed	jj_nn1
mujahedin	mujahedin	nn1
groups	group	nn2
,	,	y
who	who	pnqs
had	have	vhd
shown	show	vvn
up	up	rp
for	for	if
a	a	at1
press	press	nn1
conference	conference	nn1
.	.	y
The	the	at
aggressors	aggressor	nn2
:	:	y
several	several	da2
members	member	nn2
of	of	io
Kabul	kabul	np1
's	's	ge
delegation	delegation	nn1
,	,	y
who	who	pnqs
began	begin	vvd
pummeling	pummel	vvg
the	the	at
mujahedin	mujahedin	nn1
.	.	y
<P>	<p>	null	
After	after	ii
making	make	vvg
a	a	at1
hasty	hasty	jj
retreat	retreat	nn1
up	up	rp_ii@
a	a	at1
nearby	nearby	jj
escalator	escalator	nn1
,	,	y
the	the	at
two	two	mc
rebels	rebel	nn2
returned	return	vvn_vvd
and	and	cc
were	be	vbdr
confronted	confront	vvn
once	once	rr21
more	more	rr22
.	.	y
This	this	dd1
time	time	nnt1
they	they	pphs2
were	be	vbdr
ready	ready	jj_rr@
.	.	y
"	"	"
You	you	ppy
Russian	russian	jj
agents	agent	nn2
,	,	y
we	we	ppis2
'll	will	vm
show	show	vvi
you	you	ppy
!	!	!
"	"	"
vowed	vow	vvd
one	one	pn1_mc1
as	as	ii@_csa
fists	fist	nn2
flew	fly	vvd
.	.	y
Security	security	nn1
guards	guard	nn2_vvz@
finally	finally	rr
quelled	quell	vvd_vvn
the	the	at
outbreak	outbreak	nn1
.	.	y
