@@331163	##	fo
During	during	ii
the	the	at
seven	seven	mc
months	month	nnt2
or	or	cc
so	so	cs21
that	that	cs22
Halley	halley	np1
's	's	ge
is	be	vbz
visible	visible	jj
either	either	rr
through	through	ii
binoculars	binoculars	nn2
or	or	cc
to	to	ii
the	the	at
naked	naked	jj
eye	eye	nn1
,	,	y
it	it	pph1
will	will	vm
appear	appear	vvi
to	to	to
move	move	vvi
among	among	ii
the	the	at
constellations	constellation	nn2
.	.	y
On	on	ii
the	the	at
day	day	nnt1
you	you	ppy
plan	plan	vv0
to	to	to
look	look	vvi
for	for	if
Halley	halley	np1_nn1
's	's	ge_vbz
,	,	y
find	find	vv0
the	the	at
point	point	nn1
on	on	ii
the	the	at
chart	chart	nn1
that	that	cst_dd1
approximates	approximate	vvz
the	the	at
chosen	choose	jj@
date	date	nn1
.	.	y
This	this	dd1
spot	spot	nn1
will	will	vm
help	help	vvi
you	you	ppy
determine	determine	vvi
the	the	at
comet	comet	nn1
's	's	ge
position	position	nn1
relative	relative	ii21
to	to	ii22
familiar	familiar	jj
groups	group	nn2
of	of	io
stars	star	nn2
.	.	y
But	but	ccb
the	the	at
time	time	nnt1
of	of	io
day	day	nnt1
for	for	if
observing	observe	vvg
Halley	halley	np1_nn1
's	's	ge
and	and	cc
the	the	at
direction	direction	nn1
in	in	ii
which	which	ddq
to	to	to
look	look	vvi
will	will	vm
vary	vary	vvi
.	.	y
This	this	dd1
week	week	nnt1
,	,	y
for	for	rex21
example	example	rex22
,	,	y
observers	observer	nn2
in	in	ii
the	the	at
northern	northern	jj
hemisphere	hemisphere	nn1
should	should	vm
search	search	vvi
the	the	at
southwestern	southwestern	jj
sky	sky	nn1
during	during	ii
the	the	at
evening	evening	nnt1
.	.	y
The	the	at
best	best	jjt
view	view	nn1
is	be	vbz
on	on	ii
clear	clear	jj
,	,	y
moonless	moonless	jj
nights	night	nnt2
,	,	y
far	far	rr_jj
from	from	ii
city	city	nn1
lights	light	nn2
.	.	y
