@@327367	##	fo
Members	member	nn2
of	of	io
Congress	congress	nn1
pocketed	pocket	vvd_vvn
$7.5	$7.5	nnu
million	million	m
in	in	ii
honorariums	honorarium	nn2	
last	last	md
year	year	nnt1
,	,	y
often	often	rr
for	for	if
delivering	deliver	vvg
speeches	speech	nn2
at	at	ii
luxurious	luxurious	jj
resorts	resort	nn2
.	.	y
Last	last	md
week	week	nnt1
a	a	at1
presidential	presidential	jj
advisory	advisory	jj
commission	commission	nn1
recommended	recommend	vvd_vvn
a	a	at1
ban	ban	nn1
on	on	ii
this	this	dd1
lucrative	lucrative	jj
sideline	sideline	nn1
,	,	y
but	but	ccb
at	at	ii
a	a	at1
price	price	nn1
:	:	y
a	a	at1
50%	50%	nnu
increase	increase	nn1_vv0
in	in	ii
the	the	at
lawmaker	lawmaker	nn1
's	's	ge
salaries	salary	nn2
,	,	y
to	to	ii
$135,000	$135,000	nnu
,	,	y
along	along	ii21
with	with	ii22
pay	pay	nn1
hikes	hike	nn2
for	for	if
the	the	at
judiciary	judiciary	nn1
and	and	cc
top	top	jj_nn1
Executive	executive	nn1_jj@
Branch	branch	nn1
officials	official	nn2
.	.	y
<P>	<p>	null	
A	a	at1_zz1
ban	ban	nn1_vv0
on	on	ii
congressional	congressional	jj
speaking	speak	jj@_nn1@
fees	fee	nn2
would	would	vm
require	require	vvi
new	new	jj
legislation	legislation	nn1
.	.	y
But	but	ccb
if	if	cs
Ronald	ronald	np1
Reagan	reagan	np1
includes	include	vvz
the	the	at
raises	raise	nn2%_vvz
in	in	ii
his	his	appge
last	last	md
budget	budget	nn1
,	,	y
they	they	pphs2
will	will	vm
automatically	automatically	rr
take	take	vvi
effect	effect	nn1
unless	unless	cs
Congress	congress	nn1
votes	vote	nn2
within	within	ii
30	30	mc
days	day	nnt2
to	to	to
forgo	forgo	vvi
them	them	ppho2
.	.	y
In	in	ii
1987	1987	mc
,	,	y
when	when	rrq
Congressmen	congressmen	np1_nn2
got	get	vvd
a	a	at1
$12,100	$12,100	nnu	
pay	pay	nn1_vv0
raise	raise	vv0_nn1@
,	,	y
the	the	at
House	house	nn1
voted	vote	vvn_vvd
against	against	ii
it	it	pph1
 -- 	--	zz
on	on	ii
the	the	at
31st	31st	md
day	day	nnt1
.	.	y
