@@327475	##	fo
MR	mr	nnb
.	.	y
NICE	nice	jj
GUY	guy	nn1
.	.	y
Later	later	rrr
this	this	dd1
year	year	nnt1
West	west	np1
German	german	jj
Chancellor	chancellor	nnb
Helmut	helmut	np1
Kohl	kohl	np1
will	will	vm
launch	launch	vvi
a	a	at1
program	program	nn1
to	to	to
refurbish	refurbish	vvi
U.S.	u.s.-	np1
military	military	jj
bases	base	nn2
and	and	cc
improve	improve	vvi
community	community	nn1
relations	relation	nn2
with	with	iw
American	american	jj
troops	troop	nn2
in	in	ii
the	the	at
Federal	federal	jj
Republic	republic	nn1
.	.	y
Why	why	rrq
is	be	vbz
Kohl	kohl	np1
playing	play	vvg
Mr.	mr.-	nnb
Nice	nice	np1
Guy	guy	np1
?	?	y
Bonn	bonn	np1
sources	source	nn2
say	say	vv0
he	he	pphs1
is	be	vbz
concerned	concerned	jj_vvn%
that	that	cst_dd1
shabby	shabby	jj
barracks	barracks	nn
and	and	cc
lack	lack	nn1
of	of	io
contact	contact	nn1
with	with	iw
German	german	jj
civilians	civilian	nn2
can	can	vm
turn	turn	vvi
G.I.s	gi	nn2
into	into	ii
ambassadors	ambassador	nn2
of	of	io
ill	ill	jj
will	will	nn1@
when	when	cs_rrq
they	they	pphs2
return	return	vv0
home	home	rl
.	.	y
He	he	pphs1
also	also	rr
hopes	hope	vvz
to	to	to
head	head	vvi
off	off	rp_ii
any	any	dd
"	"	"
German	german	nn1_jj
bashing	bash	vvg_nn1@
"	"	"
by	by	ii
Bush	bush	np1
over	over	ii
Bonn	bonn	np1
's	's	ge
contributions	contribution	nn2
to	to	ii
its	its	appge
own	own	da
defense	defense	nn1
.	.	y
