@@339647	##	fo
"	"	"
The	the	at
Navy	navy	nn1
may	may	vm
mistreat	mistreat	vvi
people	people	nn
,	,	y
"	"	"
joked	joke	vvd
an	an	at1
officer	officer	nn1
last	last	md
week	week	nnt1
,	,	y
"	"	"
but	but	ccb
never	never	rr
dolphins	dolphin	nn2
.	.	y
"	"	"
He	he	pphs1
was	be	vbdz
trying	try	vvg
to	to	to
defuse	defuse	vvi
charges	charge	nn2
by	by	ii
Rick	rick	np1
Trout	trout	nn
,	,	y
a	a	at1
former	former	da
trainer	trainer	nn1
at	at	ii
the	the	at
Naval	naval	jj
Ocean	ocean	nn1
Systems	system	nn2
Command	command	vv0
in	in	ii
San	san	np1
Diego	diego	np1
,	,	y
that	that	dd1
sea	sea	nn1
mammals	mammal	nn2
in	in	ii
a	a	at1
classified	classified	jj
Navy	navy	nn1
program	program	nn1
had	have	vhd
been	be	vbn
beaten	beat	vvn
or	or	cc
starved	starve	vvn_vvd
during	during	ii
training	training	nn1
,	,	y
and	and	cc
that	that	cst_dd1
two	two	mc
had	have	vhd
died	die	vvn
as	as	ii
a	a	at1
result	result	nn1
of	of	io
abuse	abuse	nn1
.	.	y
The	the	at
Marine	marine	jj
Mammal	mammal	nn1
Commission	commission	nn1
,	,	y
announced	announce	vvd_vvn
that	that	cst
it	it	pph1
will	will	vm
investigate	investigate	vvi
.	.	y
<P>	<p>	null	
-	-	-
The	the	at
charges	charge	nn2
focused	focus	vvd_vvn
new	new	jj
attention	attention	nn1
on	on	ii
the	the	at
Navy	navy	nn1
's	's	ge
long-standing	long-standing	jj
use	use	nn1
of	of	io
dolphins	dolphin	nn2
.	.	y
There	there	ex
are	be	vbr
now	now	rt
115	115	mc
"	"	"
in	in	ii
uniform	uniform	nn1_jj
,	,	y
"	"	"
who	who	pnqs
serve	serve	vv0
in	in	ii_rp@
recovering	recover	vvg
torpedoes	torpedo	nn2
and	and	cc
locating	locate	vvg
hostile	hostile	jj
frogmen	frogman	nn2
in	in	ii
waters	water	nn2
ranging	range	vvg
from	from	ii
the	the	at
Persian	persian	jj
Gulf	gulf	nn1
to	to	ii
the	the	at
Trident	trident	np1_nn1@
submarine	submarine	nn1
port	port	nn1
in	in	ii
Puget	puget	np1_nn1
Sound	sound	nn1
,	,	y
Wash	wash	vv0_nn1
.	.	y
