@@330173	##	fo
He	he	pphs1
may	may	vm
be	be	vbi
a	a	at1
U.S.	u.s.-	np1
Senator	senator	nn1
,	,	y
but	but	ccb
Minnesota	minnesota	np1
Republican	republican	nn1
Dave	dave	np1
Durenberger	durenberger	np1_nn1	
is	be	vbz
not	not	xx
known	know	vvn
as	as	ii
a	a	at1
best-selling	best-selling	jj
author	author	nn1
.	.	y
So	so	rr
why	why	rrq
did	do	vdd
his	his	appge
books	book	nn2
on	on	ii
health	health	nn1
care	care	nn1
and	and	cc
national-security	national-security	jj_nn1
policy	policy	nn1
show	show	vv0_nn1
such	such	da
a	a	at1
hefty	hefty	jj
profit	profit	nn1
?	?	y
<P>	<p>	null	
Apparently	apparently	rr
because	because	cs
the	the	at
Senator	senator	nn1
arranged	arrange	vvn_vvd
for	for	if
$200,000	$200,000	nnu
in	in	ii
fees	fee	nn2
for	for	if
speeches	speech	nn2
he	he	pphs1
delivered	deliver	vvd
in	in	ii
1985	1985	mc
and	and	cc
1986	1986	mc
to	to	to
be	be	vbi
paid	pay	vvn
to	to	ii
his	his	appge
publisher	publisher	nn1
,	,	y
Minneapolis-based	minneapolis-based	jj_nn1
Piranha	piranha	nn1@_np1	
Press	press	nn1_vv0
.	.	y
Piranha	piranha	nn1_np1@	
in	in	ii
turn	turn	nn1
gave	give	vvd
Durenberger	durenberger	np1_nn1	
$100,000	$100,000	nnu
for	for	if
promoting	promote	vvg
his	his	appge
books	book	nn2
,	,	y
even	even	cs21
though	though	cs22
several	several	da2
sponsors	sponsor	nn2
have	have	vh0
said	say	vvn
the	the	at
books	book	nn2
were	be	vbdr
not	not	xx
displayed	display	vvn
or	or	cc
sold	sell	vvn_vvd
during	during	ii
the	the	at
Senator	senator	nn1
's	's	ge
appearances	appearance	nn2
.	.	y
<P>	<p>	null	
Durenberger	durenberger	nn1_np1@	
insists	insist	vvz
he	he	pphs1
cleared	clear	vvd
the	the	at
deal	deal	nn1
through	through	ii
the	the	at
Federal	federal	jj
Election	election	nn1
Commission	commission	nn1
and	and	cc
has	have	vhz
broken	break	vvn
no	no	at
Senate	senate	nn1
rules	rule	nn2
.	.	y
But	but	ccb
the	the	at
Senate	senate	nn1
ethics	ethics	nn
committee	committee	nn1
is	be	vbz
investigating	investigate	vvg
whether	whether	csw
he	he	pphs1
used	use	vvd
the	the	at
arrangement	arrangement	nn1
to	to	to
launder	launder	vvi
his	his	appge
speaking	speak	jj@_nn1@
fees	fee	nn2
.	.	y
