@@331853	##	fo
Yuppies	yuppies	np1
beware	beware	vv0
!	!	!
The	the	at
pricey	pricey	jj
European	european	jj
food	food	nn1
products	product	nn2
favored	favor	vvd_vvn@
by	by	ii
young	young	jj
urban	urban	jj
professionals	professional	nn2
may	may	vm
soon	soon	rr
become	become	vvi
even	even	rr
dearer	dear	jjr
.	.	y
President	president	nnb
Reagan	reagan	np1
threatened	threaten	vvd
last	last	md
week	week	nnt1
to	to	to
slap	slap	vvi
new	new	jj
quotas	quota	nn2
and	and	cc
tariffs	tariff	nn2
on	on	ii
such	such	da
imports	import	nn2
as	as	csa
French	french	jj
white	white	jj
wine	wine	nn1
,	,	y
Perrier	perrier	np1_nn1
water	water	nn1
,	,	y
Heineken	heineken	np1
beer	beer	nn1
,	,	y
Guinness	guinness	np1
stout	stout	nn1
,	,	y
Swiss	swiss	jj
and	and	cc
blue	blue	jj
cheese	cheese	nn1
,	,	y
and	and	cc
Belgian	belgian	jj_nn1
chocolates	chocolate	nn2
.	.	y
The	the	at
curbs	curb	nn2%
will	will	vm
be	be	vbi
phased	phase	vvn
in	in	ii
beginning	begin	vvg_nn1
May	may	npm1
1	1	mc1
unless	unless	cs
the	the	at
European	european	jj
Community	community	nn1
rescinds	rescind	vvz
restrictions	restriction	nn2
imposed	impose	vvn_vvd
last	last	md
month	month	nnt1
on	on	ii
$1	$1	nnu
billion	billion	m
worth	worth	nn1@
of	of	io
imports	import	nn2
of	of	io
U.S.	u.s.-	np1
soybeans	soybean	nn2
,	,	y
corn	corn	nn1
and	and	cc
other	other	jj
agricultural	agricultural	jj
products	product	nn2
.	.	y
Says	say	vvz
Secretary	secretary	nn1
of	of	io
State	state	nn1
George	george	np1
Shultz	shultz	np1
:	:	y
"	"	"
If	if	cs
we	we	ppis2
ca	can	vm
n't	n't	xx
work	work	vvi
something	something	pn1
out	out	rp
,	,	y
then	then	rt
we	we	ppis2
've	have	vh0
got	get	vvn
to	to	to
fight	fight	vvi
it	it	pph1
out	out	rp
.	.	y
"	"	"
