@@333253	##	fo
The	the	at
incident	incident	nn1
would	would	vm
not	not	xx
have	have	vhi
surprised	surprise	vvn%
a	a	at1
Western	western	jj
audience	audience	nn1
.	.	y
Two	two	mc
men	man	nn2
described	describe	vvn_vvd
as	as	ii
drug	drug	nn1
addicts	addict	nn2
commandeered	commandeer	vvd_vvn
a	a	at1
taxi	taxi	nn1
to	to	ii
the	the	at
airport	airport	nn1
,	,	y
killing	kill	vvg_nn1
two	two	mc
militiamen	militiaman	nn2
who	who	pnqs
pursued	pursue	vvd
them	them	ppho2
.	.	y
The	the	at
pair	pair	nn
then	then	rt
attempted	attempt	vvd_vvn
to	to	to
hijack	hijack	vvi
an	an	at1
airliner	airliner	nn1
and	and	cc
murdered	murder	vvd_jj_vvn
two	two	mc
of	of	io
the	the	at
76	76	mc
passengers	passenger	nn2
before	before	ii
being	be	vbg
overpowered	overpower	vvn@_jj@
and	and	cc
killed	kill	vvn
by	by	ii
security	security	nn1
guards	guard	nn2
.	.	y
<P>	<p>	null	
What	what	ddq
was	be	vbdz
extraordinary	extraordinary	jj
was	be	vbdz
that	that	cst
the	the	at
report	report	nn1
on	on	ii
the	the	at
hijack	hijack	nn1
attempt	attempt	nn1
,	,	y
which	which	ddq
took	take	vvd
place	place	nn1
in	in	ii
the	the	at
city	city	nn1
of	of	io
Ufa	ufa	np1	
,	,	y
740	740	mc
miles	mile	nnu2
east	east	nd1
of	of	io
Moscow	moscow	np1
,	,	y
was	be	vbdz
carried	carry	vvn
on	on	rp
Soviet	soviet	jj
television	television	nn1
.	.	y
Apparently	apparently	rr
part	part	nn1
of	of	io
Mikhail	mikhail	np1
Gorbachev	gorbachev	np1
's	's	ge_vbz
new	new	jj
"	"	"
open	open	jj
"	"	"
information	information	nn1
policy	policy	nn1
,	,	y
which	which	ddq
has	have	vhz
come	come	vvn
to	to	to
include	include	vvi
reports	report	nn2
of	of	io
accidents	accident	nn2
and	and	cc
disasters	disaster	nn2
,	,	y
the	the	at
broadcast	broadcast	nn1
alluded	allude	vvd_vvn@
to	to	ii
the	the	at
Soviet	soviet	jj
Union	union	nn1
's	's	ge
drug	drug	nn1
problem	problem	nn1
,	,	y
which	which	ddq
government	government	nn1
officials	official	nn2
until	until	ii
recently	recently	rr
have	have	vh0
tried	try	vvn
to	to	to
play	play	vvi
down	down	rp
.	.	y
