@@332155	##	fo
Every	every	at1
hundred	hundred	m
years	year	nnt2
,	,	y
some	some	dd
wag	wag	nn1
remarked	remark	vvn_vvd
as	as	ii_csa
the	the	at
Statue	statue	nn1
of	of	io
Liberty	liberty	nn1
was	be	vbdz
undergoing	undergo	vvg
its	its	appge
two-year	two-year	jj
,	,	y
$66.3	$66.3	nnu
million	million	m
restoration	restoration	nn1
,	,	y
a	a	at1
lady	lady	nn1
needs	need	vvz
a	a	at1
face-lifting	face-lifting	nn1_jj	
.	.	y
Well	well	rr
,	,	y
maybe	maybe	rr
it	it	pph1
was	be	vbdz
too	too	rg
much	much	da1
to	to	to
expect	expect	vvi
the	the	at
refurbished	refurbished	jj
copper	copper	nn1_jj@
statue	statue	nn1
to	to	to
shine	shine	vvi
like	like	ii
a	a	at1
newly	newly	rr
minted	minted	jj@
penny	penny	nnu1
at	at	ii
its	its	appge
rededication	rededication	nn1
on	on	ii
July	july	npm1
4	4	mc
.	.	y
Even	even	rr21
so	so	rr22
,	,	y
why	why	rrq
have	have	vh0
parts	part	nn2
of	of	io
the	the	at
statue	statue	nn1
's	's	ge
left	left	jj
cheek	cheek	nn1
,	,	y
left	leave	jj_vvd
neck	neck	nn1
and	and	cc
torch	torch	nn1
arm	arm	nn1
developed	develop	vvd_vvn
what	what	ddq
the	the	at
New	new	np1
York	york	np1
Daily	daily	np1
News	news	nn1
last	last	md
week	week	nnt1
delicately	delicately	rr
dubbed	dub	vvn
a	a	at1
skin	skin	nn1
problem	problem	nn1
?	?	y
The	the	at
dark	dark	jj_nn1
spots	spot	nn2
,	,	y
it	it	pph1
turns	turn	vvz
out	out	rp
,	,	y
are	be	vbr
acid	acid	jj%_nn1
stains	stain	nn2_vvz
,	,	y
caused	cause	vvn
by	by	ii
pollutants	pollutant	nn2
that	that	cst
began	begin	vvd
eating	eat	vvg
away	away	rl
at	at	ii
the	the	at
statue	statue	nn1
's	's	ge
protective	protective	jj
patina	patina	nn1
in	in	ii
the	the	at
1960s	1960s	mc2
and	and	cc
can	can	vm
not	not	xx
be	be	vbi
removed	remove	vvn
without	without	iw
endangering	endanger	vvg
the	the	at
delicate	delicate	jj
copper	copper	nn1_jj@
sheath	sheath	nn1
.	.	y
But	but	ccb
then	then	rt
again	again	rt
,	,	y
what	what	ddq
100-year-old	100-year-old	jj
lady	lady	nn1
does	do	vdz
not	not	xx
have	have	vhi
an	an	at1
age	age	nn1
spot	spot	nn1_vv0@
here	here	rl
and	and	cc
there	there	rl_ex
?	?	y
