@@339251	##	fo
Since	since	cs
Florida	florida	np1
joined	join	vvd
27	27	mc
other	other	jj
states	state	nn2
and	and	cc
plunged	plunge	vvd_vvn
into	into	ii
the	the	at
lottery	lottery	nn1
business	business	nn1
last	last	md
January	january	npm1
,	,	y
gamblers	gambler	nn2
have	have	vh0
plunked	plunk	vvn
down	down	rp
more	more	dar_rrr
than	than	csn
$1	$1	nnu
billion	billion	m
for	for	if
lotto	lotto	nn1
or	or	cc
scratch-off	scratch-off	jj
tickets	ticket	nn2
,	,	y
and	and	cc
the	the	at
state	state	nn1
has	have	vhz
tucked	tuck	vvn
away	away	rl
$350	$350	nnu
million	million	m
for	for	if
its	its	appge
schools	school	nn2
.	.	y
Not	not	xx
everyone	everyone	pn1
enjoys	enjoy	vvz
the	the	at
boom	boom	nn1
,	,	y
however	however	rr_rrqv
.	.	y
Merchants	merchant	nn2
find	find	vv0
the	the	at
growing	growing	jj
lines	line	nn2
of	of	io
ticket	ticket	nn1
buyers	buyer	nn2
a	a	at1
headache	headache	nn1
.	.	y
Their	their	appge
annoyance	annoyance	nn1
was	be	vbdz
dramatized	dramatize	vvn@
last	last	md
week	week	nnt1
,	,	y
following	follow	vvg_ii@
Florida	florida	np1
's	's	ge
record	record	nn1
$55.1	$55.1	nnu
million	million	m
payoff	payoff	nn1
,	,	y
when	when	cs_rrq
President	president	nnb
James	james	np1
Kufeldt	kufeldt	np1_nn1@	
of	of	io
Winn-Dixie	winn-dixie	np1
Stores	store	nn2
gave	give	vvd
the	the	at
state	state	nn1_vv0
a	a	at1
month	month	nnt1
's	's	ge
notice	notice	nn1
that	that	cst
his	his	appge
471	471	mc
supermarkets	supermarket	nn2
are	be	vbr
pulling	pull	vvg
out	out	ii21
of	of	ii22
the	the	at
games	game	nn2
.	.	y
Swarms	swarm	nn2
of	of	io
ticket	ticket	nn1
buyers	buyer	nn2
were	be	vbdr
sometimes	sometimes	rt
"	"	"
impairing	impair	vvg
the	the	at
check-out	check-out	nn1_jj@
services	service	nn2
,	,	y
"	"	"
he	he	pphs1
said	say	vvd
,	,	y
and	and	cc
Winn-Dixie	winn-dixie	np1
just	just	rr
wants	want	vvz
to	to	to
stick	stick	vvi
to	to	ii
selling	sell	vvg_nn1
groceries	grocery	nn2
.	.	y
