@@333159	##	fo
Although	although	cs
his	his	appge
confirmation	confirmation	nn1
as	as	ii_csa
the	the	at
16th	16th	md
Chief	chief	jj_nn1
Justice	justice	nn1
of	of	io
the	the	at
U.S.	u.s.-	np1
was	be	vbdz
all	all	rr21
but	but	rr22
certain	certain	jj
,	,	y
William	william	np1
Rehnquist	rehnquist	nn1
received	receive	vvd_vvn
only	only	rr_jj
grudging	grudging	jj
approval	approval	nn1
from	from	ii
the	the	at
U.S.	u.s.-	np1
Senate	senate	nn1
last	last	md
week	week	nnt1
.	.	y
Democrats	democrat	nn2
castigated	castigate	vvd
his	his	appge
caustic	caustic	jj
opposition	opposition	nn1
to	to	ii
civil	civil	jj
rights	right	nn2
programs	program	nn2
and	and	cc
questioned	question	vvd
his	his	appge
ability	ability	nn1
to	to	to
serve	serve	vvi
as	as	ii
a	a	at1
"	"	"
symbol	symbol	nn1
of	of	io
justice	justice	nn1
"	"	"
for	for	if
the	the	at
nation	nation	nn1
.	.	y
Republican	republican	jj_nn1
Charles	charles	np1
Mathias	mathias	np1
of	of	io
Maryland	maryland	np1
objected	object	vvd
to	to	ii
Rehnquist	rehnquist	nn1
's	's	ge
failure	failure	nn1
in	in	ii
1972	1972	mc
to	to	to
withdraw	withdraw	vvi
as	as	ii
an	an	at1
Associate	associate	jj_nn1
Justice	justice	nn1
of	of	io
the	the	at
Supreme	supreme	jj
Court	court	nn1
from	from	ii
a	a	at1
civil	civil	jj
liberties	liberty	nn2
case	case	nn1_vv0%
that	that	cst
he	he	pphs1
had	have	vhd
worked	work	vvn
on	on	rp@
as	as	ii
an	an	at1
Assistant	assistant	jj_nn1
Attorney	attorney	nn1
General	general	jj
.	.	y
<P>	<p>	null	
Though	though	cs_rr@
65	65	mc
Senators	senator	nn2
voted	vote	vvd_vvn
to	to	to
confirm	confirm	vvi
Rehnquist	rehnquist	nn1_jj
,	,	y
there	there	ex
were	be	vbdr
33	33	mc
nays	nay	nn2
,	,	y
the	the	at
most	most	rgt
ever	ever	rr
for	for	if
a	a	at1
successful	successful	jj
court	court	nn1
appointee	appointee	nn1
.	.	y
The	the	at
Senate	senate	nn1
was	be	vbdz
kinder	kind	jjr
to	to	ii
U.S.	u.s.-	np1
Appeals	appeal	vvz@_nn2
Court	court	nn1
Judge	judge	nn1_np1@_vv0
Antonin	antonin	np1
Scalia	scalia	np1
,	,	y
voting	vote	vvg_nn1
98	98	mc
to	to	ii
0	0	mc
to	to	to
approve	approve	vvi
his	his	appge
nomination	nomination	nn1
as	as	csa_rg@_ii@
Associate	associate	jj
Justice	justice	nn1
.	.	y
