@@335457	##	fo
He	he	pphs1
was	be	vbdz
an	an	at1
avid	avid	jj
collector	collector	nn1
of	of	io
rare	rare	jj
birds	bird	nn2
,	,	y
but	but	ccb
he	he	pphs1
himself	himself	ppx1
was	be	vbdz
perhaps	perhaps	rr
the	the	at
rarest	rare	jjt
bird	bird	nn1
of	of	io
all	all	db
:	:	y
a	a	at1
seasoned	seasoned	jj
,	,	y
moderate	moderate	jj_vv0@
Lebanese	lebanese	jj
politician	politician	nn1
of	of	io
nearly	nearly	rr
40	40	mc
years	year	nnt2
'	'	ge
experience	experience	nn1
who	who	pnqs
was	be	vbdz
trusted	trust	vvn
by	by	ii
most	most	dat
of	of	io
his	his	appge
country	country	nn1
's	's	ge
warring	warring	jj
factions	faction	nn2
.	.	y
By	by	ii
the	the	at
time	time	nnt1
he	he	pphs1
was	be	vbdz
assassinated	assassinate	vvn
last	last	md
week	week	nnt1
,	,	y
in	in	ii
the	the	at
explosion	explosion	nn1
of	of	io
a	a	at1
bomb	bomb	nn1
aboard	aboard	ii
his	his	appge
military	military	jj
helicopter	helicopter	nn1
,	,	y
Rashid	rashid	np1_jj
Karami	karami	np1_nn1	
,	,	y
65	65	mc
,	,	y
had	have	vhd
served	serve	vvn
ten	ten	mc
times	time	nnt2
as	as	csa_ii@
Lebanon	lebanon	np1
's	's	ge
Prime	prime	jj
Minister	minister	nn1
.	.	y
The	the	at
country	country	nn1
's	's	ge_vbz
Maronite	maronite	jj
Christian	christian	jj_nn1@
President	president	nnb
Amin	amin	np1
Gemayel	gemayel	np1	
 -- 	--	nn1
whose	whose	ddqge
brother	brother	nn1
Bashir	bashir	nn1_np1
had	have	vhd
been	be	vbn
killed	kill	vvn
by	by	ii
a	a	at1
bomb	bomb	nn1
in	in	ii
1982	1982	mc
 -- 	--	zz
quickly	quickly	rr
named	name	vvn_vvd
another	another	dd1
Sunni	sunni	nn1
Muslim	muslim	nn1@_jj
,	,	y
Selim	selim	np1
Hoss	hos	np1
,	,	y
as	as	csa
acting	act	vvg_jj@
Prime	prime	jj
Minister	minister	nn1
.	.	y
Suspects	suspect	nn2_vvz
in	in	ii
the	the	at
murder	murder	nn1
ranged	range	vvn_vvd
from	from	ii
Christian	christian	jj
Phalangists	phalangist	nn2
to	to	ii
Shi'ite	shi'ite	jj
radicals	radical	nn2
.	.	y
At	at	ii
week	week	nnt1
's	's	ge
end	end	nn1
Parliament	parliament	nn1
Speaker	speaker	nn1
Hussein	hussein	np1
Husseini	husseini	np1
,	,	y
the	the	at
government	government	nn1
's	be	vbz_ge
ranking	rank	vvg_nn1
Shi'ite	shi'ite	jj
Muslim	muslim	jj_nn1@
,	,	y
resigned	resign	vvd_vvn
to	to	to
protest	protest	vvi
the	the	at
killing	killing	nn1
.	.	y
