@@335758	##	fo
When	when	rrq_cs
former	former	da
Georgia	georgia	np1
State	state	nn1
Senator	senator	nnb
Julian	julian	np1
Bond	bond	np1
was	be	vbdz
accused	accuse	vvn
by	by	ii
his	his	appge
estranged	estranged	jj
wife	wife	nn1
last	last	md
March	march	npm1
of	of	io
using	use	vvg
cocaine	cocaine	nn1
,	,	y
the	the	at
ensuing	ensuing	jj
drama	drama	nn1
soon	soon	rr
added	add	vvd_vvn
Atlanta	atlanta	np1
Mayor	mayor	nnb
Andrew	andrew	np1
Young	young	np1
to	to	ii
its	its	appge
cast	cast	nn1@_jj@
.	.	y
The	the	at
mayor	mayor	nn1
,	,	y
Bond	bond	np1
's	's	ge
friend	friend	nn1
and	and	cc
fellow	fellow	jj_nn1
Democrat	democrat	nn1
,	,	y
was	be	vbdz
suspected	suspect	vvn_jj
of	of	io
obstructing	obstruct	vvg
justice	justice	nn1
by	by	ii
cautioning	caution	vvg
Alice	alice	np1
Bond	bond	np1_vv0@
not	not	xx
to	to	to
spread	spread	vvi
rumors	rumor	nn2
.	.	y
<P>	<p>	null	
U.S.	u.s.-	np1
Attorney	attorney	nn1
Robert	robert	np1
Barr	barr	np1
declared	declare	vvd
last	last	md
month	month	nnt1
that	that	cst
there	there	ex
was	be	vbdz
no	no	at
case	case	nn1
against	against	ii
Young	young	np1_jj
.	.	y
Last	last	md
week	week	nnt1
he	he	pphs1
announced	announce	vvd
that	that	cst
there	there	ex
was	be	vbdz
no	no	at
use	use	nn1
or	or	cc
possession	possession	nn1
case	case	nn1
against	against	ii
Bond	bond	np1
.	.	y
"	"	"
We	we	ppis2
do	do	vd0
not	not	xx
have	have	vhi
any	any	dd
hard-and-fast	hard-and-fast	jj
evidence	evidence	nn1
,	,	y
"	"	"
said	say	vvd
Barr	barr	np1
.	.	y
"	"	"
It	it	pph1
would	would	vm
be	be	vbi
silly	silly	jj
to	to	to
try	try	vvi
to	to	to
prosecute	prosecute	vvi
.	.	y
"	"	"
