@@328466	##	fo
John	john	np1
Turner	turner	np1
is	be	vbz
Canada	canada	np1
's	's	ge
most	most	rgt
famous	famous	jj
also-ran	also-ran	nn1
.	.	y
The	the	at
Liberal	liberal	jj
Party	party	nn1
leader	leader	nn1
stirred	stir	vvd_vvn
up	up	rp
last	last	md
November	november	npm1
's	's	ge
elections	election	nn2
with	with	iw
impassioned	impassioned	jj
attacks	attack	nn2
on	on	ii
the	the	at
Canada-U.S	canada-u.s	np1	
.	.	y
Free	free	jj
Trade	trade	nn1
Agreement	agreement	nn1
,	,	y
but	but	ccb
failed	fail	vvd_vvn
to	to	to
sweep	sweep	vvi
Progressive	progressive	jj
Conservative	conservative	jj_nn1
Prime	prime	jj
Minister	minister	nn1
Brian	brian	np1
Mulroney	mulroney	np1
out	out	ii21
of	of	ii22
office	office	nn1
.	.	y
Last	last	md
week	week	nnt1
,	,	y
conceding	concede	vvg
the	the	at
need	need	nn1
for	for	if
"	"	"
fresh	fresh	jj
leadership	leadership	nn1
,	,	y
"	"	"
Turner	turner	np1
said	say	vvd
he	he	pphs1
would	would	vm
resign	resign	vvi
after	after	ii_cs
a	a	at1
date	date	nn1
is	be	vbz
set	set	vvn
to	to	to
choose	choose	vvi
a	a	at1
successor	successor	nn1
.	.	y
Likeliest	likely	jjt_np1@	
prospect	prospect	nn1
:	:	y
Quebec	quebec	np1
's	's	ge
Jean	jean	np1
Chretien	chretien	np1
,	,	y
a	a	at1
former	former	da
Justice	justice	nn1
and	and	cc
Finance	finance	nn1
minister	minister	nn1
.	.	y
