@@335141	##	fo
EXPECTING	expect	vvg
.	.	y
Sally	sally	np1
Field	field	np1
,	,	y
40	40	mc
,	,	y
pert	pert	jj
television	television	nn1
actress	actress	nn1
(	(	y
Gidget	gidget	np1_nn1
,	,	y
The	the	at
Flying	fly	jj_nn1
Nun	nun	nn1
)	)	y
and	and	cc
two-time	two-time	jj
Oscar-winning	oscar-winning	jj_nn1
movie	movie	nn1
star	star	nn1
(	(	y
Norma	norma	np1
Rae	rae	np1
,	,	y
Places	place	nn2_vvz@
in	in	ii
the	the	at
Heart	heart	nn1
)	)	y
,	,	y
and	and	cc
her	her	appge
husband	husband	nn1
Movie	movie	nn1
Producer	producer	nn1
Alan	alan	np1
Greisman	greisman	np1	
,	,	y
39	39	mc
:	:	y
their	their	appge
first	first	md
child	child	nn1
;	;	y
in	in	ii
December	december	npm1
.	.	y
Field	field	nn1_np1@
has	have	vhz
two	two	mc
children	child	nn2
from	from	ii
a	a	at1
previous	previous	jj
marriage	marriage	nn1
.	.	y
