@@339441	##	fo
There	there	ex
are	be	vbr
8	8	mc
million	million	m
stories	story	nn2
in	in	ii
the	the	at
Naked	naked	jj
City	city	nn1
 -- 	--	nn1
which	which	ddq
is	be	vbz
twelve	twelve	mc
stories	story	nn2
too	too	rg
many	many	da2
.	.	y
Last	last	md
week	week	nnt1
the	the	at
U.S.	u.s.-	np1
Supreme	supreme	jj
Court	court	nn1
let	let	vv0_vvn@
stand	stand	vvi
a	a	at1
lower	low	jjr
court	court	nn1
ruling	ruling	nn1
requiring	require	vvg
a	a	at1
New	new	np1
York	york	np1
City	city	nn1
developer	developer	nn1
to	to	to
tear	tear	vvi
down	down	rp_ii@
the	the	at
top	top	jj_nn1
dozen	dozen	m
floors	floor	nn2
of	of	io
a	a	at1
new	new	jj
31-story	31-story	jj_nn1	
condominium	condominium	nn1
on	on	ii
Manhattan	manhattan	np1
's	's	ge
East	east	nd1
Side	side	nn1
.	.	y
The	the	at
concrete	concrete	jj_nn1
superstructure	superstructure	nn1
for	for	if
all	all	db
31	31	mc
floors	floor	nn2
was	be	vbdz
in	in	ii
place	place	nn1
in	in	ii
1986	1986	mc
when	when	rrq
the	the	at
city	city	nn1
found	find	vvd_vvn
that	that	cst
the	the	at
building	building	nn1
violated	violate	vvd_vvn
zoning	zoning	nn1_vvg@
laws	law	nn2
and	and	cc
ordered	order	vvd
it	it	pph1
cut	cut	vvd@_vvn
down	down	rp
to	to	ii
size	size	nn1
.	.	y
The	the	at
developer	developer	nn1
,	,	y
Parkview	parkview	vv0_np1_nn1	
Associates	associate	nn2
,	,	y
kept	keep	vvd_vvn
working	work	vvg
on	on	ii
the	the	at
building	building	nn1
and	and	cc
went	go	vvd
to	to	ii
court	court	nn1
,	,	y
arguing	argue	vvg
that	that	cst_dd1
there	there	rl
(	(	y
had	have	vhd
been	be	vbn
an	an	at1
error	error	nn1
in	in	ii
the	the	at
city	city	nn1
's	's	ge
zoning	zoning	nn1
map	map	nn1
.	.	y
But	but	ccb
Parkview	parkview	np1_nn1_vv0
should	should	vm
have	have	vhi
noticed	notice	vvn
the	the	at
error	error	nn1
,	,	y
a	a	at1
New	new	np1
York	york	np1
appeals	appeal	vvz@_nn2
court	court	nn1
ruled	rule	vvn_vvd
in	in	ii
February	february	npm1
.	.	y
Decapitation	decapitation	nn1
of	of	io
the	the	at
condo	condo	nn1
could	could	vm
cost	cost	vvi
$9	$9	nnu
million	million	m
.	.	y
