@@330763	##	fo
BORN	born	vvn
.	.	y
To	to	ii
Jannike	jannike	np1	
Bjorling	bjorling	np1	
,	,	y
19	19	mc
,	,	y
aspiring	aspire	vvg_jj
Swedish	swedish	jj
model	model	nn1
,	,	y
and	and	cc
Bjorn	bjorn	np1
Borg	borg	np1
,	,	y
29	29	mc
,	,	y
retired	retire	vvd_jj_vvn
Swedish	swedish	jj
tennis	tennis	nn1
star	star	nn1
,	,	y
businessman	businessman	nn1
and	and	cc
spokesman	spokesman	nn1
for	for	if
Swedish	swedish	jj
tourism	tourism	nn1
:	:	y
their	their	appge
first	first	md
child	child	nn1
,	,	y
a	a	at1
boy	boy	nn1
;	;	y
in	in	ii
Stockholm	stockholm	np1
.	.	y
